iamc_r10,year,CO2
AFR,1750,0
AFR,1751,0
AFR,1752,0
AFR,1753,0
AFR,1754,0
AFR,1755,0
AFR,1756,0
AFR,1757,0
AFR,1758,0
AFR,1759,0
AFR,1760,0
AFR,1761,0
AFR,1762,0
AFR,1763,0
AFR,1764,0
AFR,1765,0
AFR,1766,0
AFR,1767,0
AFR,1768,0
AFR,1769,0
AFR,1770,0
AFR,1771,0
AFR,1772,0
AFR,1773,0
AFR,1774,0
AFR,1775,0
AFR,1776,0
AFR,1777,0
AFR,1778,0
AFR,1779,0
AFR,1780,0
AFR,1781,0
AFR,1782,0
AFR,1783,0
AFR,1784,0
AFR,1785,0
AFR,1786,0
AFR,1787,0
AFR,1788,0
AFR,1789,0
AFR,1790,0
AFR,1791,0
AFR,1792,0
AFR,1793,0
AFR,1794,0
AFR,1795,0
AFR,1796,0
AFR,1797,0
AFR,1798,0
AFR,1799,0
AFR,1800,0
AFR,1801,0
AFR,1802,0
AFR,1803,0
AFR,1804,0
AFR,1805,0
AFR,1806,0
AFR,1807,0
AFR,1808,0
AFR,1809,0
AFR,1810,0
AFR,1811,0
AFR,1812,0
AFR,1813,0
AFR,1814,0
AFR,1815,0
AFR,1816,0
AFR,1817,0
AFR,1818,0
AFR,1819,0
AFR,1820,0
AFR,1821,0
AFR,1822,0
AFR,1823,0
AFR,1824,0
AFR,1825,0
AFR,1826,0
AFR,1827,0
AFR,1828,0
AFR,1829,0
AFR,1830,0
AFR,1831,0
AFR,1832,0
AFR,1833,0
AFR,1834,0
AFR,1835,0
AFR,1836,0
AFR,1837,0
AFR,1838,0
AFR,1839,0
AFR,1840,0
AFR,1841,0
AFR,1842,0
AFR,1843,0
AFR,1844,0
AFR,1845,0
AFR,1846,0
AFR,1847,0
AFR,1848,0
AFR,1849,0
AFR,1850,0
AFR,1851,0
AFR,1852,0
AFR,1853,0
AFR,1854,0
AFR,1855,0
AFR,1856,0
AFR,1857,0
AFR,1858,0
AFR,1859,0
AFR,1860,0
AFR,1861,0
AFR,1862,0
AFR,1863,0
AFR,1864,0
AFR,1865,0
AFR,1866,0
AFR,1867,0
AFR,1868,0
AFR,1869,0
AFR,1870,0
AFR,1871,0
AFR,1872,0
AFR,1873,0
AFR,1874,0
AFR,1875,0
AFR,1876,0
AFR,1877,0
AFR,1878,0
AFR,1879,0
AFR,1880,0
AFR,1881,0
AFR,1882,0
AFR,1883,0
AFR,1884,2.1984e-5
AFR,1885,3.664e-5
AFR,1886,4.7632e-5
AFR,1887,4.7632e-5
AFR,1888,8.0608e-5
AFR,1889,1.31904e-4
AFR,1890,2.96784e-4
AFR,1891,2.96784e-4
AFR,1892,4.7998400000000003e-4
AFR,1893,0.001799024
AFR,1894,0.002432896
AFR,1895,0.003337904
AFR,1896,0.004257568
AFR,1897,0.004777856
AFR,1898,0.006049264
AFR,1899,0.005517984
AFR,1900,0.002330304
AFR,1901,0.003909488
AFR,1902,0.00582576
AFR,1903,0.00789592
AFR,1904,0.008910847999999999
AFR,1905,0.010262864000000002
AFR,1906,0.011717472
