model,scenario,region,variable,unit,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Historical,GCP+CEDS+PRIMAP+GFED,World,Emissions|BC,Mt BC/yr,2.096765609,2.071971538,2.067178349,2.070381789,2.098586112,2.097789189,2.071363197,2.146563786,2.11976313,2.11596123,2.131155959,2.136703326,2.100696515,2.105688469,2.07467919,2.122668675,2.109392768,2.111379785,2.186365568,2.136350116,2.13833343,2.099110918,2.090110985,2.091107755,2.153101227,2.147091401,2.114894932,2.16887851,2.196858789,2.157835771,2.188959606,2.18485843,2.156728921,2.146599493,2.140457829,2.161329955,2.153519102,2.180380145,2.254321061,2.203286693,2.211259669,2.167613842,2.160838571,2.147902326,2.20891895,2.197965574,2.152583627,2.208361511,2.229054543,2.201946386,2.209730078,2.212946586,2.197216205,2.174266596,2.196124971,2.20959291,2.216691104,2.23413437,2.310787211,2.26184668,2.274035726,2.24696699,2.226481787,2.226265248,2.28638375,2.281758468,2.259806005,2.291075044,2.330717119,2.298800179,2.320366226,2.328058357,2.296484975,2.27668922,2.309975075,2.316517521,2.315564187,2.339684526,2.418906779,2.372607395,2.396191033,2.353843981,2.35159123,2.351059553,2.406306998,2.399201793,2.402120865,2.43365625,2.471501778,2.446908058,2.442217033,2.48490411,2.443611544,2.405546804,2.441934607,2.465700171,2.465543113,2.516519272,2.577188537,2.548851376,2.567837156,2.523565166,2.508466119,2.524450366,2.605353556,2.588395791,2.573708253,2.634357732,2.66029841,2.649542164,2.656477995,2.675392344,2.655094448,2.627532081,2.672052097,2.722634971,2.71298342,2.77691954,2.84763884,2.80460092,2.850641052,2.821481609,2.804848725,2.875982304,2.902945871,2.870447548,2.884455128,2.920937593,2.94548071,2.976704015,2.979011863,3.019748702,3.007859716,2.987262145,3.054169344,3.060324715,3.07460664,3.121666505,3.216385258,3.189220374,3.254897977,3.229514916,3.224260691,3.240576043,3.3186577,3.343641167,3.30133889,3.397703715,3.431541431,3.500216554,3.510856626,3.536764832,3.53438576,3.559222593,3.631589355,3.696618266,3.734784889,3.880250388,3.865180699,3.885499787,3.972963734,3.943317933,3.957312012,4.045041467,3.994319529,3.964232769,4.020565681,4.12337113,4.127514993,3.938075162,4.078428451,3.902840966,3.903819161,4.239619938,4.13791934,4.168811857,4.131512746,4.214826667,4.166145205,4.224178755,4.173963709,3.93098048,3.908341303,3.895097316,4.056482796,4.08184511,4.249397247,4.251581194,4.106962966,4.245341559,4.275042316,4.333352611,4.423154664,4.441212013,4.442930542,4.210853696,4.161869879,4.153796872,4.238231099,4.307580451,4.485656388,4.318932192,4.367243287,4.433921417,4.487770554,4.566766559,4.800663591,4.978762995,4.946343168,5.02965531,5.14108149,5.147694357,5.154658661,5.338068542,5.180871109,5.195661311,5.211114336,5.314084838,5.298081871,5.316066299,5.459856445,5.57704787,5.872700065,5.779569979,5.841233308,5.860633013,6.103687649,6.236698225,6.476835747,6.539956613,6.440528701,6.352058507,6.675773037,6.360345525,6.553494,6.638687767,6.77503617,6.97407441,7.158724884,7.095501861,7.294464476,7.787367911,7.127610461,7.316642331,7.781741303,7.781096533,7.635056325,8.209142998,8.247757291,7.478531604,7.113418899,7.204673758,7.588355872,7.668078438,7.8560039,8.028732938,7.96052175,8.168771954,7.936498963,7.861838907,8.30629622,7.973211128,8.162565731,7.842259346,7.934828048,7.926370575,7.568059793,7.562318921,7.459095462,7.781842402,6.525020587,6.871947368,6.701701912
Historical,GCP+CEDS+PRIMAP+GFED,World,Emissions|C2F6,kt C2F6/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000323411,0.000348634,0.000352959,0.00035732,0.000362124,0.000367193,0.000372428,0.000377991,0.000383782,0.000389831,0.00037008,0.000376245,0.000409614,0.000416785,0.000424248,0.000403634,0.000411165,0.000448418,0.000456985,0.000435401,0.000444026,0.000484664,0.00046214,0.000471646,0.000481458,0.000491579,0.000502011,0.000512761,0.000523831,0.000535225,0.00054698,0.000524841,0.000536549,0.000584176,0.000597284,0.000573571,0.000586573,0.000599917,0.000613595,0.000627574,0.000641644,0.000737931,0.000984625,0.001282106,0.001734178,0.002396673,0.002836173,0.003432905,0.004021716,0.004881489,0.010526955,0.013160139,0.015384261,0.01736798,0.019754749,0.022370254,0.024506091,0.025489853,0.02710863,0.02906851,0.030428458,0.031916373,0.033628839,0.035312908,0.037089461,0.039202744,0.041283513,0.043195831,0.045167183,0.047355564,0.049024829,0.057554966,0.079938372,0.110903654,0.148514516,0.191144494,0.236481357,0.282009721,0.325034114,0.362843005,0.392480075,0.414354655,0.437176838,0.46528471,0.491145965,0.51368733,0.534324554,0.55385902,0.572456937,0.590381951,0.608040189,0.626018016,0.641764125,0.654716946,0.657051915,0.653161756,0.686378554,0.702803682,0.709252419,0.712533099,0.715779522,0.714293766,0.707202043,0.696412489,0.678499279,0.658441443,0.636169196,0.613214528,0.597391775,0.580455318,0.553657796,0.532791698,0.526531641,0.532903645,0.549733875,0.579139913,0.629811269,0.698338726,0.794707288,0.914509066,1.050358022,1.1979999,1.357878602,1.515631562,1.611347583,1.620122315,1.652439752,1.733677379,1.8026104,1.855063341,1.908167308,1.835101808,1.729512772,1.871808295,2.064809735,2.107353118,2.097514287,2.166528337,2.214539463,2.212201392,2.138366686,2.307575127,2.211065319,2.370121931,2.549154367,2.681883388,3.023517432,3.322846259,3.1847834,3.036504731,2.835091347,2.2416689,2.582610048,2.11184986,1.871463676,1.542022432,1.710035616,1.974875379,1.549035923,1.043063744,1.056217339,1.041568349,1.023517815,1.003457808,1.035565199,0.933935611,0.979945114,0.996980299,0.99676359,1.062576719,1.106550104,1.160588085,1.167145395
Historical,GCP+CEDS+PRIMAP+GFED,World,Emissions|C3F8,kt C3F8/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75E-07,9.11E-06,2.23E-05,4.15E-05,7.18E-05,0.000120934,0.000199724,0.000274543,0.000378068,0.000495939,0.0006207,0.000540396,0.000738862,0.000960745,0.001126009,0.000944459,0.001053362,0.00121507,0.001084699,0.001142932,0.001214445,0.001361687,0.001463879,0.001463769,0.001557358,0.001653048,0.001726891,0.001815684,0.001907947,0.001987768,0.00210518,0.002218491,0.002509327,0.003505018,0.004951033,0.006615502,0.008471982,0.010502497,0.012623521,0.014724886,0.016383468,0.017695501,0.019195145,0.020293845,0.021550758,0.023076228,0.024229757,0.025452882,0.026775375,0.028125013,0.029365286,0.03085859,0.032539336,0.034267975,0.035915071,0.037539025,0.040012971,0.042410302,0.044875766,0.047554382,0.050454555,0.053556805,0.056969492,0.060537658,0.063766873,0.066874762,0.069281251,0.070177133,0.069937974,0.068544853,0.064601483,0.058775332,0.053345161,0.048900043,0.045725436,0.044642836,0.045093696,0.047044128,0.050173504,0.054855359,0.060264729,0.065987579,0.072714191,0.081489137,0.095597043,0.109653961,0.121655776,0.13338073,0.150256712,0.177402846,0.206724811,0.230718626,0.233584864,0.22329266,0.231423474,0.241241761,0.227359762,0.215395364,0.23763666,0.251703074,0.249023292,0.258007938,0.318974126,0.363182336,0.474048402,0.611123406,0.726347669,0.881095237,1.027560349,1.043079834,1.076689189,1.10164188,0.875817257,0.966799224,0.851141258,0.897642171,0.615023943,0.596518981,0.697831358,0.576644582,0.425704429,0.342572982,0.291241975,0.302615707,0.314138221,0.323186158,0.304123577,0.319107081,0.324655531,0.324586117,0.34601874,0.360339576,0.37793754,0.380073799
Historical,GCP+CEDS+PRIMAP+GFED,World,Emissions|C4F10,kt C4F10/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000154428,0.001142034,0.002056417,0.011175841,0.039522681,0.070967758,0.089895835,0.099734721,0.116198662,0.132128889,0.130858246,0.132406632,0.134923499,0.152064371,0.176468001,0.203588236,0.230149954,0.241738262,0.263886298,0.2726179,0.267917706,0.258811444,0.247286372,0.261887417,0.26519295,0.304249748,0.296495573,0.310183383,0.324653079,0.306574569,0.309908908,0.32898581,0.290957016,0.280198128,0.286588885,0.18433616,0.162049545,0.129558589,0.145634153,0.117780365,0.10546628,0.12837875,0.091847092,0.060019028,0.068404065,0.064818586,0.065545243,0.070672046,0.070641319,0.067023917,0.07032673,0.071550237,0.071535646,0.076259947,0.079416943,0.083291714,0.083758761
Historical,GCP+CEDS+PRIMAP+GFED,World,Emissions|C5F12,kt C5F12/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001021635,0.011478774,0.029047835,0.043974419,0.058129959,0.069674457,0.077256035,0.082160055,0.083960803,0.082679589,0.079577437,0.0850464,0.091839921,0.088511251,0.088818942,0.09122667,0.111794995,0.150360522,0.178103074,0.195169256,0.19974967,0.223001962,0.230390834,0.231007499,0.25099293,0.250702913,0.254000401,0.271465994,0.327803847,0.303539484,0.317566369,0.352000359,0.316641642,0.288218953,0.293779909,0.25565539,0.246212562,0.227666041,0.12499753,0.116632889,0.094770085,0.096760978,0.079064999,0.08352568,0.111711991,0.063758905,0.033525797,0.034441464,0.032637464,0.033004653,0.035587608,0.031141375,0.030029927,0.031513315,0.032065209,0.032062325,0.034183668,0.035602881,0.037337696,0.037544789
Historical,GCP+CEDS+PRIMAP+GFED,World,Emissions|C6F14,kt C6F14/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000695636,0.006209102,0.013175808,0.016599172,0.01899714,0.02072831,0.021938379,0.02273337,0.023337819,0.023295306,0.022586886,0.02459427,0.02705184,0.026522235,0.027079045,0.028107746,0.036116482,0.058605374,0.082977835,0.093642758,0.111656602,0.147467049,0.207476166,0.247186022,0.284595049,0.318346958,0.35705754,0.41981931,0.535124393,0.560583441,0.640971232,0.738635181,0.762024203,0.809480125,0.864981453,0.796838786,0.755698774,0.672906694,0.42408733,0.388467371,0.308600202,0.334323737,0.266199409,0.242865727,0.260708302,0.196787859,0.121958479,0.111636776,0.105797738,0.106996462,0.115379142,0.15181233,0.16821292,0.176505179,0.179579025,0.179545519,0.191406252,0.199333535,0.209061856,0.21023695
Historical,GCP+CEDS+PRIMAP+GFED,World,Emissions|C7F16,kt C7F16/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001444229,0.011774181,0.022615526,0.0249631,0.026317273,0.026889665,0.026527906,0.02617157,0.025426924,0.024110208,0.022552953,0.023998178,0.026256773,0.025374503,0.025352689,0.026650859,0.035586241,0.050778336,0.061348508,0.071102535,0.088907129,0.121598104,0.153676106,0.166901643,0.171978837,0.171795451,0.195774282,0.220244939,0.227511182,0.221742232,0.244852666,0.232782578,0.219849079,0.209978443,0.201523533,0.197184303,0.189918021,0.164727713,0.120345355,0.122414673,0.102088947,0.129949405,0.121124531,0.137023064,0.171173346,0.135890984,0.088812039,0.078352815,0.074255639,0.075097979,0.080982629,0.091071499,0.092373886,0.096927586,0.098615603,0.098597222,0.105110551,0.109463831,0.114809565,0.115458345
Historical,GCP+CEDS+PRIMAP+GFED,World,Emissions|C8F18,kt C8F18/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001482129,0.012725992,0.025653448,0.030546515,0.033567971,0.034389961,0.033872231,0.033784421,0.033313687,0.031392204,0.028710324,0.029150679,0.029854924,0.027201052,0.025682828,0.024855059,0.023923339,0.020485742,0.008869526,0.013300305,0.021498032,0.045495527,0.077468615,0.100458073,0.121308952,0.133273785,0.147289079,0.173972856,0.228073963,0.236151649,0.261584401,0.262450909,0.247869125,0.264473406,0.283739709,0.248368308,0.226678699,0.210333668,0.135683051,0.110590248,0.090597859,0.094552231,0.068777901,0.072664613,0.069863061,0.044617325,0.029159643,0.029958669,0.028391942,0.028713863,0.030963711,0.038102616,0.040062926,0.04203988,0.042774052,0.042768124,0.04559557,0.04748625,0.049804141,0.050084443
Historical,GCP+CEDS+PRIMAP+GFED,World,Emissions|CCl4,kt CCl4/yr,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566776,0.021566049,0.021567676,0.021566321,0.021567395,0.021565922,0.021567967,0.021565096,0.021569171,0.021563352,0.022584224,0.026215524,0.809257508,1.092800941,0.574737168,1.401880979,2.936063684,4.808750291,6.526528355,6.256950806,5.325021333,4.349734807,3.180281333,4.026799427,6.508534676,7.707749054,8.386613537,10.32271544,10.07534215,10.15999142,14.01140397,17.36032709,19.88653795,21.03544298,21.61807604,24.26943574,28.69178135,35.33965491,41.11007914,43.21845795,44.94388995,49.88385503,57.71506116,69.41566373,83.66446247,97.31667184,90.90301455,72.49661648,67.53840524,73.98359372,83.60352086,90.21335311,91.15235283,76.48247534,67.54578164,73.7235204,78.95086079,84.16070773,89.27371774,94.26757497,99.3216963,104.3337539,109.3188845,114.1568406,118.2962718,122.1979339,125.0759821,125.5220269,124.9520234,124.4972514,124.0279072,123.6412214,123.2523753,122.7779539,122.2945421,121.9820282,121.7664518,121.3876919,120.9447403,120.601443,120.2982518,117.1781724,119.5394718,119.622973,117.1677383,120.7081144,120.7290977,125.3532537,126.1761472,121.0370267,121.6307595,117.0944749,99.14937709,85.0304977,77.66227298,70.21312253,69.22967565,63.85337586,58.99108332,59.99158582,58.03931617,56.08613256,56.36152396,55.65980403,55.2366271,55.16288876,55.07038418,52.70827199,48.77298389,47.33983158,42.95750769,42.78310819,44.64898904,42.32298798,43.19238124,43.78068317,41.14451831,38.32646645,40.13235754,43.55830511,43.79380268,28.41011335,25.81245434,35.18469523,35.18469523
Historical,GCP+CEDS+PRIMAP+GFED,World,Emissions|CF4,kt CF4/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012920965,0.012998038,0.013106416,0.01321474,0.013322401,0.013429664,0.013536678,0.013643202,0.013749384,0.013855179,0.013999623,0.014105603,0.014171452,0.014277003,0.014382428,0.014530064,0.01463554,0.01469634,0.014799801,0.014947965,0.015050262,0.015104245,0.015252842,0.015353458,0.015453617,0.015553314,0.015652543,0.015751297,0.015849571,0.01594736,0.016044608,0.016192872,0.016290872,0.016335425,0.016431968,0.016583875,0.016680911,0.016777487,0.016873536,0.016968075,0.017055261,0.019281736,0.025289186,0.034437841,0.045780408,0.058438464,0.072310183,0.086009751,0.099014538,0.110129983,0.11201746,0.116311725,0.12044765,0.124448107,0.127831334,0.130428863,0.133732296,0.139284716,0.144133504,0.149088085,0.155693544,0.162937198,0.170558442,0.178743696,0.187402109,0.196191531,0.205629086,0.215929865,0.226768896,0.237860544,0.250348647,0.297310029,0.401894731,0.556998078,0.750497341,0.969603719,1.202547329,1.437927162,1.664637708,1.871906068,2.048814394,2.206751733,2.356791336,2.493156134,2.628291851,2.76570678,2.904116987,3.043564123,3.185140652,3.329857363,3.478020298,3.629299022,3.788505465,3.95843288,4.152569673,4.365302849,4.534458546,4.742457334,4.980772708,5.241022671,5.520357461,5.833013991,6.18468877,6.570228362,6.991769418,7.43964228,7.911966131,8.403295435,8.89838532,9.295016541,9.497456402,9.663910874,9.943957793,10.34586839,10.79162684,11.26259334,11.81913417,12.34323468,12.85166037,13.28434189,13.5615893,13.78486367,14.03656783,14.30159233,14.48644137,14.770661,15.16463815,15.30910547,15.34985392,15.41434383,15.30567972,15.22764343,15.19852628,14.81391204,14.06149865,13.4888538,13.34747534,13.35716739,13.49071952,13.59046104,13.03184513,13.4094895,12.03685664,12.03361745,11.67213668,10.69591819,10.63073031,10.74269058,9.814757083,9.341287059,8.908599049,6.945591689,7.988676912,7.487430665,9.2360434,7.805680122,7.615396268,9.295719757,7.146372466,5.00495825,5.567140349,5.55957375,4.911183854,4.549975171,5.518863141,5.76467791,6.04870379,6.153888224,6.152585572,6.558858647,6.830327769,7.163846856,7.204284726
