name,type,input_mode,greenhouse_gas,aerosol_chemistry_from_emissions,aerosol_chemistry_from_concentration,partition_fraction0,partition_fraction1,partition_fraction2,partition_fraction3,unperturbed_lifetime0,unperturbed_lifetime1,unperturbed_lifetime2,unperturbed_lifetime3,tropospheric_adjustment,forcing_efficacy,forcing_temperature_feedback,forcing_scale,molecular_weight,baseline_concentration,forcing_reference_concentration,iirf_0,iirf_airborne,iirf_uptake,iirf_temperature,baseline_emissions,g1,g0,greenhouse_gas_radiative_efficiency,h2o_stratospheric_factor,lapsi_radiative_efficiency,land_use_cumulative_emissions_to_forcing,cl_atoms,br_atoms,fractional_release,ch4_lifetime_chemical_sensitivity,lifetime_temperature_sensitivity,contrails_radiative_efficiency,erfari_radiative_efficiency,ozone_radiative_efficiency,aci_shape,aci_scale
CO2 FFI,co2 ffi,emissions,0,0,0,,,,,,,,,0.0,1.0,0.0,1,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,0,,
CO2 AFOLU,co2 afolu,emissions,0,0,0,,,,,,,,,0.0,1.0,0.0,1,,,,,,,,0.0,,,,,,-0.000222468,,,,0.0,,,,0,,
CH4,ch4,emissions,1,0,1,1.0,0.0,0.0,0.0,16.78837799,16.78837799,16.78837799,16.78837799,-0.14,1.0,0.0,1,16.043,729.2,731.41,,,,,38.246272,8.249410814,0.36785517,,4.4e-05,0.0,0.0,0.0,0.0,0.0,0.000167283,-0.0463,,,0,,
N2O,n2o,emissions,1,0,1,1.0,0.0,0.0,0.0,109.0,109.0,109.0,109.0,0.07,1.0,0.0,1,44.013,270.1,273.87,65.44969575,0.0,0.0,0.0,1.00046404,25.49528818,0.076755588,,0.0,0.0,0.0,0.0,0.0,0.0,-0.000949891,,,,0,,
Sulfur,sulfur,emissions,0,1,0,,,,,,,,,0.0,1.0,0.0,1,64.069,,,,,,,2.293964929,,,,0.0,0.0,0.0,,,,0.0,,,,0,,
BC,black carbon,emissions,0,1,0,,,,,,,,,0.0,1.0,0.0,1,12.011,,,,,,,2.096765609,,,,0.0,0.01407193,0.0,,,,0.0,,,,0,,
OC,organic carbon,emissions,0,1,0,,,,,,,,,0.0,1.0,0.0,1,12.011,,,,,,,15.44571911,,,,0.0,0.0,0.0,,,,0.0,,,,0,,
NH3,other slcf,emissions,0,1,0,,,,,,,,,0.0,1.0,0.0,1,17.031,,,,,,,6.656462698,,,,0.0,0.0,0.0,,,,0.0,,,,0,,
NOx,other slcf,emissions,0,1,0,,,,,,,,,0.0,1.0,0.0,1,46.006,,,,,,,19.4168329,,,,0.0,0.0,0.0,,,,-0.0034188,,,,0,,
VOC,other slcf,emissions,0,1,0,,,,,,,,,0.0,1.0,0.0,1,59.746,,,,,,,60.62284009,,,,0.0,0.0,0.0,,,,0.00019837,,,,0,,
CO,other slcf,emissions,0,1,0,,,,,,,,,0.0,1.0,0.0,1,28.01,,,,,,,348.4549732,,,,0.0,0.0,0.0,,,,0.0,,,,0,,
CF4,f-gas,emissions,1,0,0,1.0,0.0,0.0,0.0,50000.0,50000.0,50000.0,50000.0,0.0,1.0,0.0,1,88.004,34.05,34.05,99.90006663,0.0,0.0,0.0,0.010071225,0.099866767,0.0,0.09859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,
C2F6,f-gas,emissions,1,0,0,1.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,1.0,0.0,1,138.01,0.0,0.0,99.50166251,0.0,0.0,0.0,0.0,0.496679133,9.91e-88,0.26105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,
C6F14,f-gas,emissions,1,0,0,1.0,0.0,0.0,0.0,3100.0,3100.0,3100.0,3100.0,0.0,1.0,0.0,1,338.04,0.0,0.0,98.40430085,0.0,0.0,0.0,0.0,1.578633139,8.48e-28,0.44888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,
SF6,f-gas,emissions,1,0,0,1.0,0.0,0.0,0.0,3200.0,3200.0,3200.0,3200.0,0.0,1.0,0.0,1,146.06,0.0,0.0,98.45364968,0.0,0.0,0.0,0.0,1.530326228,1.15e-28,0.56657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,
HFC-134a,f-gas,emissions,1,0,0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,0.0,1.0,0.0,1,102.03,0.0,0.0,13.98893314,0.0,0.0,0.0,0.0,13.9098841,0.365794734,0.16714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,
HFC-143a,f-gas,emissions,1,0,0,1.0,0.0,0.0,0.0,51.0,51.0,51.0,51.0,0.0,1.0,0.0,1,84.04,0.0,0.0,43.82185266,0.0,0.0,0.0,0.0,29.74705396,0.229202513,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,
HFC-227ea,f-gas,emissions,1,0,0,1.0,0.0,0.0,0.0,36.0,36.0,36.0,36.0,0.0,1.0,0.0,1,170.03,0.0,0.0,33.76164514,0.0,0.0,0.0,0.0,27.54399273,0.29354177,0.27325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,
HFC-23,f-gas,emissions,1,0,0,1.0,0.0,0.0,0.0,228.0,228.0,228.0,228.0,0.0,1.0,0.0,1,78.014,0.0,0.0,80.95345964,0.0,0.0,0.0,0.0,16.459363,0.007310939,0.19111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,
HFC-32,f-gas,emissions,1,0,0,1.0,0.0,0.0,0.0,5.4,5.4,5.4,5.4,0.0,1.0,0.0,1,52.023,0.0,0.0,5.399999951,0.0,0.0,0.0,0.0,5.399999044,0.367879379,0.11144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,
HFC-4310mee,f-gas,emissions,1,0,0,1.0,0.0,0.0,0.0,17.0,17.0,17.0,17.0,0.0,1.0,0.0,1,252.05,0.0,0.0,16.95260031,0.0,0.0,0.0,0.0,16.67377861,0.36177885,0.35731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,
Solar,solar,forcing,0,0,0,,,,,,,,,0.0,1.0,0.0,1,,,,,,,,,,,,,,,,,,0.0,,,,0,,
Volcanic,volcanic,forcing,0,0,0,,,,,,,,,0.0,0.6,0.0,1,,,,,,,,,,,,,,,,,,0.0,,,,0,,
Aerosol-radiation interactions,ari,calculated,0,0,0,,,,,,,,,0.0,1.0,0.0,1,,,,,,,,,,,,,,,,,,0.0,,,,0,,
Aerosol-cloud interactions,aci,calculated,0,0,0,,,,,,,,,0.0,1.0,0.0,1,,,,,,,,,,,,,,,,,,0.0,,,,0,,
Ozone,ozone,calculated,0,0,0,,,,,,,,,0.0,1.0,-0.037,1,47.998,,,,,,,,,,,,,,,,,0.0,,,,0,,
Light absorbing particles on snow and ice,lapsi,calculated,0,0,0,,,,,,,,,0.0,1.0,0.0,1,,,,,,,,,,,,,,,,,,0.0,,,,0,,
Stratospheric water vapour,h2o stratospheric,calculated,0,0,0,,,,,,,,,0.0,1.0,0.0,1,,,,,,,,,,,,,,,,,,0.0,,,,0,,
Land use,land use,calculated,0,0,0,,,,,,,,,0.0,1.0,0.0,1,,,,,,,,,,,,,,,,,,0.0,,,,0,,
Equivalent effective stratospheric chlorine,eesc,calculated,0,0,1,,,,,,,,,0.0,1.0,0.0,1,35.45,344.3627591,0.0,,,,,,,,,,,,,,,2.53e-05,,,,0,,
