Model,Scenario,Region,Variable,Unit,1990,1995,2000,2005,2007,2010,2011,2012,2014,2015,2018,2020,2021,2022,2023,2024,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Category
AIM/CGE 2.2,ADVANCE_WP2_IND-450-FullTech,R10AFRICA,Population,million,NA,NA,NA,911.12,NA,1022.24,NA,NA,NA,NA,NA,1266.59,NA,NA,NA,NA,NA,1523.08,NA,1776.76,NA,2012.73,NA,2212.13,NA,2375.04,NA,2499.2,NA,2583.51,NA,2631.51,NA
AIM/CGE 2.2,ADVANCE_WP2_IND-450-FullTech,R10CHINA+,Population,million,NA,NA,NA,1314.88,NA,1348.93,NA,NA,NA,NA,NA,1387.49,NA,NA,NA,NA,NA,1389.58,NA,1349.14,NA,1273.18,NA,1174.18,NA,1067.62,NA,962.13,NA,862.21,NA,776.5,NA
AIM/CGE 2.2,ADVANCE_WP2_IND-450-FullTech,R10EUROPE,Population,million,NA,NA,NA,529.33,NA,544.21,NA,NA,NA,NA,NA,568.15,NA,NA,NA,NA,NA,586.49,NA,599.96,NA,608.86,NA,611.92,NA,609.05,NA,602.31,NA,592.14,NA,577.72,NA
AIM/CGE 2.2,ADVANCE_WP2_IND-450-FullTech,R10INDIA+,Population,million,NA,NA,NA,1140.04,NA,1224.61,NA,NA,NA,NA,NA,1388.09,NA,NA,NA,NA,NA,1528.6,NA,1645.88,NA,1733.8,NA,1779.29,NA,1781.25,NA,1747.8,NA,1684.43,NA,1602.94,NA
AIM/CGE 2.2,ADVANCE_WP2_IND-450-FullTech,R10LATIN_AM,Population,million,NA,NA,NA,557.1700000000002,NA,590.21,NA,NA,NA,NA,NA,652.37,NA,NA,NA,NA,NA,704.5799999999997,NA,742.75,NA,765.77,NA,773.1899999999997,NA,769.4200000000003,NA,756.94,NA,737.78,NA,715.01,NA
AIM/CGE 2.2,ADVANCE_WP2_IND-450-FullTech,R10MIDDLE_EAST,Population,million,NA,NA,NA,190.13,NA,215.48,NA,NA,NA,NA,NA,263.09,NA,NA,NA,NA,NA,306.34,NA,345.93,NA,379.27,NA,403.76,NA,419.37,NA,426.71,NA,427.59,NA,424.12,NA
AIM/CGE 2.2,ADVANCE_WP2_IND-450-FullTech,R10NORTH_AM,Population,million,NA,NA,NA,329.1,NA,344.4,NA,NA,NA,NA,NA,373.51,NA,NA,NA,NA,NA,402.41,NA,427.77,NA,449.89,NA,471.39,NA,490.4,NA,503.87,NA,511.16,NA,512.98,NA
AIM/CGE 2.2,ADVANCE_WP2_IND-450-FullTech,R10PAC_OECD,Population,million,NA,NA,NA,150.93,NA,153.18,NA,NA,NA,NA,NA,155.65,NA,NA,NA,NA,NA,155.25,NA,153.24,NA,150.58,NA,147.52,NA,143.11,NA,137.72,NA,131.29,NA,124.03,NA
AIM/CGE 2.2,ADVANCE_WP2_IND-450-FullTech,R10REF_ECON,Population,million,NA,NA,NA,351.13,NA,352.11,NA,NA,NA,NA,NA,354.5600000000001,NA,NA,NA,NA,NA,353.82,NA,351.86,NA,348.76,NA,343.23,NA,335.06,NA,324.5,NA,312.4600000000001,NA,299.72,NA
AIM/CGE 2.2,ADVANCE_WP2_IND-450-FullTech,R10REST_ASIA,Population,million,NA,NA,NA,1039.86,NA,1108.21,NA,NA,NA,NA,NA,1240.41,NA,NA,NA,NA,NA,1351.23,NA,1431.22,NA,1478.800000000001,NA,1493.3,NA,1480.78,NA,1449,NA,1403.64,NA,1350.73,NA
AIM/CGE 2.2,ADVANCE_WP2_IND-Base-FullTech,R10AFRICA,Population,million,NA,NA,NA,911.12,NA,1022.24,NA,NA,NA,NA,NA,1266.59,NA,NA,NA,NA,NA,1523.08,NA,1776.76,NA,2012.73,NA,2212.13,NA,2375.04,NA,2499.2,NA,2583.51,NA,2631.51,NA
AIM/CGE 2.2,ADVANCE_WP2_IND-Base-FullTech,R10CHINA+,Population,million,NA,NA,NA,1314.88,NA,1348.93,NA,NA,NA,NA,NA,1387.49,NA,NA,NA,NA,NA,1389.58,NA,1349.14,NA,1273.18,NA,1174.18,NA,1067.62,NA,962.13,NA,862.21,NA,776.5,NA
AIM/CGE 2.2,ADVANCE_WP2_IND-Base-FullTech,R10EUROPE,Population,million,NA,NA,NA,529.33,NA,544.21,NA,NA,NA,NA,NA,568.15,NA,NA,NA,NA,NA,586.49,NA,599.96,NA,608.86,NA,611.92,NA,609.05,NA,602.31,NA,592.14,NA,577.72,NA
AIM/CGE 2.2,ADVANCE_WP2_IND-Base-FullTech,R10INDIA+,Population,million,NA,NA,NA,1140.04,NA,1224.61,NA,NA,NA,NA,NA,1388.09,NA,NA,NA,NA,NA,1528.6,NA,1645.88,NA,1733.8,NA,1779.29,NA,1781.25,NA,1747.8,NA,1684.43,NA,1602.94,NA
AIM/CGE 2.2,ADVANCE_WP2_IND-Base-FullTech,R10LATIN_AM,Population,million,NA,NA,NA,557.1700000000002,NA,590.21,NA,NA,NA,NA,NA,652.37,NA,NA,NA,NA,NA,704.5799999999997,NA,742.75,NA,765.77,NA,773.1899999999997,NA,769.4200000000003,NA,756.94,NA,737.78,NA,715.01,NA
AIM/CGE 2.2,ADVANCE_WP2_IND-Base-FullTech,R10MIDDLE_EAST,Population,million,NA,NA,NA,190.13,NA,215.48,NA,NA,NA,NA,NA,263.09,NA,NA,NA,NA,NA,306.34,NA,345.93,NA,379.27,NA,403.76,NA,419.37,NA,426.71,NA,427.59,NA,424.12,NA
AIM/CGE 2.2,ADVANCE_WP2_IND-Base-FullTech,R10NORTH_AM,Population,million,NA,NA,NA,329.1,NA,344.4,NA,NA,NA,NA,NA,373.51,NA,NA,NA,NA,NA,402.41,NA,427.77,NA,449.89,NA,471.39,NA,490.4,NA,503.87,NA,511.16,NA,512.98,NA
AIM/CGE 2.2,ADVANCE_WP2_IND-Base-FullTech,R10PAC_OECD,Population,million,NA,NA,NA,150.93,NA,153.18,NA,NA,NA,NA,NA,155.65,NA,NA,NA,NA,NA,155.25,NA,153.24,NA,150.58,NA,147.52,NA,143.11,NA,137.72,NA,131.29,NA,124.03,NA
AIM/CGE 2.2,ADVANCE_WP2_IND-Base-FullTech,R10REF_ECON,Population,million,NA,NA,NA,351.13,NA,352.11,NA,NA,NA,NA,NA,354.5600000000001,NA,NA,NA,NA,NA,353.82,NA,351.86,NA,348.76,NA,343.23,NA,335.06,NA,324.5,NA,312.4600000000001,NA,299.72,NA
AIM/CGE 2.2,ADVANCE_WP2_IND-Base-FullTech,R10REST_ASIA,Population,million,NA,NA,NA,1039.86,NA,1108.21,NA,NA,NA,NA,NA,1240.41,NA,NA,NA,NA,NA,1351.23,NA,1431.22,NA,1478.800000000001,NA,1493.3,NA,1480.78,NA,1449,NA,1403.64,NA,1350.73,NA
AIM/CGE 2.2,EN_INDCi2030_1000f,R10AFRICA,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,NA,NA,NA,NA,NA,1274.1132,NA,NA,NA,1433.1748,NA,1618.9977,NA,NA,NA,NA,1722.9433,1848.6465,1733.1405,1336.5441999999998,1300.2065,1289.9807,1083.422,620.8502000000001,386.3042,169.6545,22.9049,-11.398200000000015,-48.263600000000025,-86.98919999999998,-126.15449999999998,-171.8598,C3
AIM/CGE 2.2,EN_INDCi2030_1000f,R10AFRICA,Population,million,NA,NA,NA,NA,NA,1031.8561,NA,NA,NA,1170.2225,NA,1297.6376,NA,NA,NA,NA,1427.6726,1558.5265,1688.7709,1816.5571,1939.6817,2056.6165,2163.2556,2259.6847,2347.4891,2426.0491,2494.7239,2553.4156000000003,2602.0122,2640.5958,2670.1371,2691.2765,C3
AIM/CGE 2.2,EN_INDCi2030_1000f,R10CHINA+,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,NA,NA,NA,NA,NA,8556.4526,NA,NA,NA,10340.4308,NA,12103.5646,NA,NA,NA,NA,12882.8014,13662.6261,10865.6655,6547.9681,5524.659,4535.431,3286.5299,2370.2761,1497.5086,458.1173,-651.5317,-699.0281,-729.0432,-754.9955,-774.6028,-783.9267,C3
