Model,Scenario,Region,Variable,Unit,2015,2019,2020,2030,2040,2045,2050,2053,2060,2070,2080,2090,2100
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10AFRICA,Emissions|CO2,Mt CO2/yr,2933.792740905872,3035.1420025472685,3030.15243860196,2994.611203452271,2895.2458417482767,3005.491290308427,3115.7367388685766,3266.8871801355435,3619.571543091799,4313.848423290142,6875.9341687365,10189.303356779883,13348.454259144253
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10AFRICA,Emissions|CO2|AFOLU,Mt CO2/yr,1525.5250446580649,1486.221911439205,1477.2252099467833,1141.6117182226183,771.3662716524766,647.1495492677456,522.9328268830145,411.1389219624396,150.28647714776469,-292.5905157093741,-699.3264444893455,-774.9780267092696,-553.373126336641
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10AFRICA,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,1408.2676962478074,1548.9200911080634,1552.927228655177,1852.9994852296527,2123.8795700958003,2358.341741040681,2592.803911985562,2855.748258173104,3469.285065944034,4606.438938999516,7575.260613225846,10964.281383489153,13901.827385480894
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10AFRICA,Emissions|Kyoto Gases (AR4-GWP100),Mt CO2-equiv/yr,4459.776014483039,4659.581070365284,4656.731364181023,4583.562957066317,4362.590863670822,4372.645326548704,4382.699789426587,4548.261827230679,4934.5732487735595,5628.869802189897,7968.259857733918,11213.529399584442,14631.041219656378
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10AFRICA,Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr,4569.294026987048,4775.0025513618975,4772.569961342562,4698.225265383023,4468.53593690066,4469.940531597198,4471.345126293735,4638.855946435264,5029.714526765493,5723.2598213667,8035.660331385338,11271.71965319523,14713.977646563244
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10AFRICA,Emissions|Kyoto Gases (AR6-GWP100),Mt CO2-equiv/yr,4622.051843439149,4848.192404910257,4850.332206631712,4750.79019262168,4516.5966202855425,4510.027003746222,4503.457387206902,4673.6818043536005,5070.872111029229,5779.902574750729,8108.104428268956,11370.800047641898,15057.885953451963
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10CHINA+,Emissions|CO2,Mt CO2/yr,12264.593281750382,13176.070140409369,13232.357407996755,11918.820994797732,11617.736233728587,11449.724597495682,11281.712961262778,11361.03872592956,11546.132176818715,11814.4953777353,11776.988014477456,11495.933897407642,11080.968377833746
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10CHINA+,Emissions|CO2|AFOLU,Mt CO2/yr,147.629917780558,136.83458442687962,130.67932112460556,-127.5910540753014,-264.8102014358827,-342.9034466294759,-420.99669182306917,-457.8490633581291,-543.837930273269,-624.6296081019483,-646.6291164001173,-635.1526709884488,-638.0886186913604
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10CHINA+,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,12116.963363969824,13039.23555598249,13101.678086872149,12046.412048873033,11882.54643516447,11792.628044125158,11702.709653085847,11818.887789287688,12089.970107091984,12439.124985837248,12423.617130877574,12131.086568396091,11719.056996525105
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10CHINA+,Emissions|Kyoto Gases (AR4-GWP100),Mt CO2-equiv/yr,14532.19265695597,15432.133157659337,15509.680545407538,13823.661122898659,13384.508306649324,13180.912164650174,12977.316022651023,13054.478520982197,13234.524350421598,13319.94560727435,13478.949936830586,13473.222613572605,13038.605972390018
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10CHINA+,Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr,14692.341212045369,15596.62895788947,15674.760518349929,13938.075300597902,13474.014163625538,13267.06853084954,13060.12289807354,13138.767258593245,13322.27076647256,13398.660984240727,13580.823468490116,13604.18713211806,13164.454427679757
