Model,Scenario,Region,Variable,Unit,2015,2019,2020,2030,2040,2045,2050,2053,2060,2070,2080,2090,2100
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8AFRIMEST,Emissions|CO2,Mt CO2/yr,5107.134825826835,5318.478162320935,5369.684767239098,6717.728814315915,8025.788120617718,9027.230649434981,10028.673178252244,10563.52151484781,11811.500966904126,13324.537234272797,16271.429274931908,19827.44406867371,23287.73149695435
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8AFRIMEST,Emissions|CO2|AFOLU,Mt CO2/yr,1540.128921368003,1496.4656730660845,1486.882156682473,1401.3395221850083,1171.6249738837587,1086.0789746222324,1000.5329753607062,941.1691991934864,802.6537214699732,422.0866684451526,175.68052347542195,-36.288504779478075,-85.88976032470896
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8AFRIMEST,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,3567.0059044588324,3822.01248925485,3882.8026105566246,5316.389292130907,6854.163146733959,7941.151674812749,9028.140202891538,9622.352315654323,11008.847245434154,12902.450565827645,16095.748751456487,19863.732573453188,23373.62125727906
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8AFRIMEST,Emissions|Kyoto Gases (AR4-GWP100),Mt CO2-equiv/yr,7316.389914395306,7732.722448721235,7797.107441617256,9219.031964472537,10420.439869597729,11317.503256975957,12214.566644354183,12792.73873587899,14141.806949436865,15707.837939657336,18748.876907730115,22328.44526638417,25775.58027852097
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8AFRIMEST,Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr,7493.731595957171,7927.701297716789,7993.340352491128,9421.025346394545,10608.135403469363,11491.259234326244,12374.383065183123,12956.650792487124,14315.275489529788,15886.214547318135,18935.982394836068,22514.25857605892,25954.09706409985
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8AFRIMEST,Emissions|Kyoto Gases (AR6-GWP100),Mt CO2-equiv/yr,7631.223713825119,8119.521431192364,8197.211607392643,9643.072233583709,10848.468220580959,11715.753158892032,12583.038097203105,13209.598395539291,14671.572424990389,16411.06463349169,19770.361172847428,23590.250153574332,27377.378935918376
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8CHINASIA,Emissions|CO2,Mt CO2/yr,14309.930828880135,15454.90732470408,15617.50023501335,15067.970577494132,15468.675431075004,15706.393827680682,15944.11222428636,16101.85871641909,16469.93386472879,16785.146248659217,17195.560890758574,17486.24239099776,17288.464181656047
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8CHINASIA,Emissions|CO2|AFOLU,Mt CO2/yr,649.424099604288,516.4056115468336,521.6274613642656,295.0917849493453,203.55065135024566,186.08294692120234,168.61524249215898,94.97113235068234,-76.86512464609653,-251.86557419991536,-446.4188831898713,-711.2039479418761,-906.570729481787
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8CHINASIA,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,13660.506729275847,14938.501713157246,15095.872773649086,14772.878792544787,15265.124779724758,15520.31088075948,15775.496981794202,16006.88758406841,16546.79898937489,17037.01182285913,17641.979773948446,18197.446338939633,18195.034911137835
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8CHINASIA,Emissions|Kyoto Gases (AR4-GWP100),Mt CO2-equiv/yr,17585.479283344222,18789.35041557356,18980.889201594706,18044.618164787826,18271.211106926483,18479.1999091445,18687.18871136252,18826.25285175768,19150.735846013045,19483.000384812203,19995.077451345405,20379.235570405206,20086.326126978
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8CHINASIA,Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr,17824.337134753026,19038.53325189804,19230.945393575068,18234.525561810573,18424.644339643957,18626.836513852963,18829.028688061968,18968.03821736826,19292.3937857496,19630.457564402117,20156.48707749482,20551.746007187106,20244.615530236577
