iso3c,year,terr_GtCO2,lulucf_GtCO2_mean,lulucf_GtCO2_blue,lulucf_GtCO2_hc2023,lulucf_GtCO2_oscar
ABW,1850,0,0,0,0,0
ABW,1851,0,0,0,0,0
ABW,1852,0,0,0,0,0
ABW,1853,0,0,0,0,0
ABW,1854,0,0,0,0,0
ABW,1855,0,0,0,0,0
ABW,1856,0,0,0,0,0
ABW,1857,0,0,0,0,0
ABW,1858,0,0,0,0,0
ABW,1859,0,0,0,0,0
ABW,1860,0,0,0,0,0
ABW,1861,0,0,0,0,0
ABW,1862,0,0,0,0,0
ABW,1863,0,0,0,0,0
ABW,1864,0,0,0,0,0
ABW,1865,0,0,0,0,0
ABW,1866,0,0,0,0,0
ABW,1867,0,0,0,0,0
ABW,1868,0,0,0,0,0
ABW,1869,0,0,0,0,0
ABW,1870,0,0,0,0,0
ABW,1871,0,0,0,0,0
ABW,1872,0,0,0,0,0
ABW,1873,0,0,0,0,0
ABW,1874,0,0,0,0,0
ABW,1875,0,0,0,0,0
ABW,1876,0,0,0,0,0
ABW,1877,0,0,0,0,0
ABW,1878,0,0,0,0,0
ABW,1879,0,0,0,0,0
ABW,1880,0,0,0,0,0
ABW,1881,0,0,0,0,0
ABW,1882,0,0,0,0,0
ABW,1883,0,0,0,0,0
ABW,1884,0,0,0,0,0
ABW,1885,0,0,0,0,0
ABW,1886,0,0,0,0,0
ABW,1887,0,0,0,0,0
ABW,1888,0,0,0,0,0
ABW,1889,0,0,0,0,0
ABW,1890,0,0,0,0,0
ABW,1891,0,0,0,0,0
ABW,1892,0,0,0,0,0
ABW,1893,0,0,0,0,0
ABW,1894,0,0,0,0,0
ABW,1895,0,0,0,0,0
ABW,1896,0,0,0,0,0
ABW,1897,0,0,0,0,0
ABW,1898,0,0,0,0,0
ABW,1899,0,0,0,0,0
ABW,1900,0,0,0,0,0
ABW,1901,0,0,0,0,0
ABW,1902,0,0,0,0,0
ABW,1903,0,0,0,0,0
ABW,1904,0,0,0,0,0
ABW,1905,0,0,0,0,0
ABW,1906,0,0,0,0,0
ABW,1907,0,0,0,0,0
ABW,1908,0,0,0,0,0
ABW,1909,0,0,0,0,0
ABW,1910,0,0,0,0,0
ABW,1911,0,0,0,0,0
ABW,1912,0,0,0,0,0
ABW,1913,0,0,0,0,0
ABW,1914,0,0,0,0,0
ABW,1915,0,0,0,0,0
ABW,1916,0,0,0,0,0
ABW,1917,0,0,0,0,0
ABW,1918,0,0,0,0,0
ABW,1919,0,0,0,0,0
ABW,1920,0,0,0,0,0
ABW,1921,0,0,0,0,0
ABW,1922,0,0,0,0,0
ABW,1923,0,0,0,0,0
ABW,1924,0,0,0,0,0
ABW,1925,0,0,0,0,0
ABW,1926,3.341817987129842e-5,0,0,0,0
ABW,1927,3.578481139407746e-5,0,0,0,0
ABW,1928,8.280692636617316e-5,0,0,0,0
ABW,1929,1.0348557910421425e-4,0,0,0,0
ABW,1930,1.3467140441856493e-4,0,0,0,0
ABW,1931,1.1186110484794996e-4,0,0,0,0
ABW,1932,1.0943572715261962e-4,0,0,0,0
