r10,iso3c,countryname,year,terr_GtCO2,terr_GtCO2_share,pop,pop_share
R10INDIA+,AFG,Afghanistan,2022,0.012156789787458835,0.02%,41855938,0.54%
R10MIDDLE_EAST,YEM,Yemen,2022,0.011364612591437378,0.02%,33828666,0.44%
R10LATIN_AM,VEN,Venezuela,2022,0.07694795958296664,0.10%,32040373,0.41%
R10CHINA+,PRK,North Korea,2022,0.0509086592585406,0.07%,25757899,0.33%
R10MIDDLE_EAST,SYR,Syria,2022,0.027655369153903552,0.04%,23093667,0.30%
R10AFRICA,SOM,Somalia,2022,6.473919803177383e-4,0.00%,14091182,0.18%
R10LATIN_AM,CUB,Cuba,2022,0.0209362483223843,0.03%,11118112,0.14%
R10CHINA+,HKG,Hong Kong SAR China,2022,0.030591134659628767,0.04%,7719549,0.10%
R10AFRICA,LBR,Liberia,2022,8.775721596172557e-4,0.00%,5827770,0.08%
R10AFRICA,ERI,Eritrea,2022,6.973328397998234e-4,0.00%,5613111,0.07%
R10AFRICA,NAM,Namibia,2022,0.00395584657927723,0.01%,2624174,0.03%
R10REST_ASIA,TLS,Timor-Leste,2022,6.693791894664417e-4,0.00%,1397531,0.02%
R10AFRICA,DJI,Djibouti,2022,4.533656836775367e-4,0.00%,1095028,0.01%
R10CHINA+,MAC,Macao SAR China,2022,0.001052411494762903,0.00%,654672,0.01%
R10EUROPE,MNE,Montenegro,2022,0.002294166008417092,0.00%,645821,0.01%
R10REST_ASIA,FSM,Micronesia (Federated States of),2022,1.5131648235769708e-4,0.00%,113214,0.00%
R10REST_ASIA,NCL,New Caledonia,2022,0.005118938080775163,0.01%,297265,0.00%
R10REST_ASIA,PYF,French Polynesia,2022,8.73852685615701e-4,0.00%,306967,0.00%
R10AFRICA,STP,São Tomé & Príncipe,2022,1.3235144477664743e-4,0.00%,203578,0.00%
NA,ABW,Aruba,2022,8.665039138290664e-4,0.00%,NA,NA
NA,AIA,Anguilla,2022,1.3906852937997356e-4,0.00%,NA,NA
NA,ALB,Albania,2022,0.004958335842477343,0.01%,NA,NA
NA,AND,Andorra,2022,3.689136592563253e-4,0.00%,NA,NA
NA,ATG,Antigua & Barbuda,2022,6.026302939798863e-4,0.00%,NA,NA
NA,BES,Caribbean Netherlands,2022,1.1054165155844066e-4,0.00%,NA,NA
NA,BMU,Bermuda,2022,4.4573246596145297e-4,0.00%,NA,NA
NA,COK,Cook Islands,2022,6.809241706096355e-5,0.00%,NA,NA
NA,CUW,Curaçao,2022,0.001757968845751976,0.00%,NA,NA
NA,CZE,Czechia,2022,0.0980406023850792,0.13%,NA,NA
NA,DMA,Dominica,2022,1.5333196829074006e-4,0.00%,NA,NA
NA,FRO,Faroe Islands,2022,7.486777202554832e-4,0.00%,NA,NA
NA,GRL,Greenland,2022,5.921482032387203e-4,0.00%,NA,NA
NA,KIR,Kiribati,2022,6.809241706096355e-5,0.00%,NA,NA
NA,KNA,St. Kitts & Nevis,2022,2.2464916284457273e-4,0.00%,NA,NA
NA,LCA,St. Lucia,2022,4.706934840552964e-4,0.00%,NA,NA
NA,LIE,Liechtenstein,2022,1.5004346680273353e-4,0.00%,NA,NA
NA,MCO,Monaco,2022,NA,NA,NA,NA
NA,MHL,Marshall Islands,2022,1.5131648235769708e-4,0.00%,NA,NA
NA,MSR,Montserrat,2022,2.1395158366149812e-5,0.00%,NA,NA
NA,NIU,Niue,2022,7.565824117884853e-6,0.00%,NA,NA
NA,NRU,Nauru,2022,5.2960768825193906e-5,0.00%,NA,NA
NA,PLW,Palau,2022,2.1940889941866095e-4,0.00%,NA,NA
NA,SHN,St. Helena,2022,1.782929863845816e-5,0.00%,NA,NA
NA,SMR,San Marino,2022,NA,NA,NA,NA
NA,SPM,St. Pierre & Miquelon,2022,6.0619615370757664e-5,0.00%,NA,NA
NA,SSD,South Sudan,2022,0.0018349392325570275,0.00%,NA,NA
NA,SXM,Sint Maarten,2022,6.347230315291103e-4,0.00%,NA,NA
NA,SYC,Seychelles,2022,6.593071701395374e-4,0.00%,NA,NA
NA,TCA,Turks & Caicos Islands,2022,3.494542533137799e-4,0.00%,NA,NA
NA,TON,Tonga,2022,1.8914560294712134e-4,0.00%,NA,NA
NA,TUV,Tuvalu,2022,1.134873617682728e-5,0.00%,NA,NA
NA,TWN,Taiwan,2022,0.2781031940109082,0.37%,NA,NA
NA,VAT,Vatican City,2022,NA,NA,NA,NA
NA,VCT,St. Vincent & Grenadines,2022,2.3891260175533922e-4,0.00%,NA,NA
NA,VGB,British Virgin Islands,2022,1.5689782801843187e-4,0.00%,NA,NA
NA,WLF,Wallis & Futuna,2022,2.6480384412596983e-5,0.00%,NA,NA
