r10,iso3c,year,pop,gdpcurrmer,gdpcurrppp,terr_GtCO2,lulucf_GtCO2_mean,lulucf_GtCO2_blue,lulucf_GtCO2_hc2023,lulucf_GtCO2_oscar
R10AFRICA,AGO,1850,2418020,NA,NA,0,0.0052462544444444445,0.008902923333333333,5.440600000000001e-4,0.00629178
R10AFRICA,AGO,1851,2445639,NA,NA,0,0.00525283,0.008909156666666666,4.493133333333333e-4,0.00640002
R10AFRICA,AGO,1852,2469804,NA,NA,0,0.005371471111111111,0.009035473333333334,5.379366666666666e-4,0.006541003333333333
R10AFRICA,AGO,1853,2490423,NA,NA,0,0.0054175000000000004,0.00907929,5.751166666666666e-4,0.006598093333333334
R10AFRICA,AGO,1854,2511209,NA,NA,0,0.00532235,0.008974276666666666,4.811033333333333e-4,0.00651167
R10AFRICA,AGO,1855,2532163,NA,NA,0,0.005326688888888889,0.008963936666666667,4.922500000000001e-4,0.006523879999999999
R10AFRICA,AGO,1856,2553287,NA,NA,0,0.005438228888888889,0.00905817,6.140566666666667e-4,0.00664246
R10AFRICA,AGO,1857,2574582,NA,NA,0,0.005413588888888888,0.009014536666666666,6.020299999999999e-4,0.006624199999999999
R10AFRICA,AGO,1858,2596050,NA,NA,0,0.005352942222222223,0.008934126666666667,5.555366666666667e-4,0.006569163333333333
R10AFRICA,AGO,1859,2617734,NA,NA,0,0.0052908044444444444,0.008937096666666667,4.652266666666667e-4,0.0064700899999999995
R10AFRICA,AGO,1860,2639636,NA,NA,0,0.00559196,0.009493476666666665,5.384866666666667e-4,0.006743916666666667
R10AFRICA,AGO,1861,2661759,NA,NA,0,0.005613898888888889,0.009588076666666667,4.041033333333333e-4,0.006849516666666666
R10AFRICA,AGO,1862,2684105,NA,NA,0,0.00586872,0.01011725,4.8279000000000003e-4,0.00700612
R10AFRICA,AGO,1863,2706676,NA,NA,0,0.005988497777777778,0.010132173333333334,6.359833333333334e-4,0.007197336666666666
R10AFRICA,AGO,1864,2729431,NA,NA,0,0.0060560622222222225,0.010184606666666667,7.012866666666667e-4,0.0072822933333333345
R10AFRICA,AGO,1865,2752372,NA,NA,0,0.006006171111111111,0.010134116666666667,6.428033333333333e-4,0.007241593333333333
R10AFRICA,AGO,1866,2775501,NA,NA,0,0.005965935555555556,0.010094333333333334,5.949533333333333e-4,0.00720852
R10AFRICA,AGO,1867,2798819,NA,NA,0,0.005904971111111111,0.010037279999999999,0.00052594666666666665,0.007151686666666666
R10AFRICA,AGO,1868,2822327,NA,NA,0,0.00592196,0.010052166666666666,5.387066666666667e-4,0.0071750066666666674
R10AFRICA,AGO,1869,2844907,NA,NA,0,0.005791194444444444,0.00991188,4.0820999999999994e-4,0.007053493333333333
R10AFRICA,AGO,1870,2866541,NA,NA,0,0.005990172222222223,0.010402076666666668,3.2251999999999997e-4,0.0072459199999999994
R10AFRICA,AGO,1871,2887214,NA,NA,0,0.006201543333333334,0.010683896666666668,3.3487666666666665e-4,0.007585856666666667
R10AFRICA,AGO,1872,2906908,NA,NA,0,0.006486541111111111,0.011040443333333334,5.301633333333333e-4,0.007889016666666667
R10AFRICA,AGO,1873,2925605,NA,NA,0,0.006566987777777778,0.011171893333333332,5.536666666666666e-4,0.007975403333333334
R10AFRICA,AGO,1874,2944418,NA,NA,0,0.0066282822222222225,0.01126752,5.743466666666666e-4,0.00804298
R10AFRICA,AGO,1875,2963345,NA,NA,0,0.006804563333333334,0.011701323333333333,5.992066666666668e-4,0.008113160000000001
R10AFRICA,AGO,1876,2982389,NA,NA,0,0.006767896666666667,0.011519053333333334,6.183466666666667e-4,0.00816629
R10AFRICA,AGO,1877,3001550,NA,NA,0,0.0065502066666666674,0.011269023333333334,4.052766666666667e-4,0.00797632
R10AFRICA,AGO,1878,3020828,NA,NA,0,0.006732158888888888,0.011438899999999998,5.811666666666667e-4,0.008176409999999999
R10AFRICA,AGO,1879,3040210,NA,NA,0,0.006754867777777777,0.011456206666666666,5.952833333333333e-4,0.008213113333333332
R10AFRICA,AGO,1880,3059698,NA,NA,0,0.007208190000000001,0.012543080000000002,5.357e-4,0.008545790000000001
R10AFRICA,AGO,1881,3079292,NA,NA,0,0.007474585555555556,0.012890606666666669,5.3174e-4,0.00900141
R10AFRICA,AGO,1882,3098992,NA,NA,0,0.007667806666666666,0.013184013333333333,5.957233333333334e-4,0.009223683333333333
R10AFRICA,AGO,1883,3118798,NA,NA,0,0.007681972222222223,0.013274616666666668,5.229033333333333e-4,0.009248396666666667
R10AFRICA,AGO,1884,3138726,NA,NA,0,0.00790631111111111,0.01355552,6.809366666666667e-4,0.009482476666666665
R10AFRICA,AGO,1885,3158775,NA,NA,0,0.00782907888888889,0.01351262,5.544e-4,0.009420216666666667
R10AFRICA,AGO,1886,3178946,NA,NA,0,0.007734112222222221,0.013440936666666665,4.195766666666667e-4,0.009341823333333332
R10AFRICA,AGO,1887,3199240,NA,NA,0,0.007749634444444445,0.013473166666666666,4.0084e-4,0.009374896666666667
R10AFRICA,AGO,1888,3219658,NA,NA,0,0.007896276666666667,0.013633546666666668,5.165233333333333e-4,0.00953876
R10AFRICA,AGO,1889,3233687,NA,NA,0,0.007916504444444444,0.0136554,5.1425e-4,0.009579863333333334
R10AFRICA,AGO,1890,3241303,NA,NA,0,0.008739988888888888,0.01513798,7.206833333333332e-4,0.010361303333333334
R10AFRICA,AGO,1891,3242479,NA,NA,0,0.009141513333333334,0.015814003333333333,6.4691e-4,0.010963626666666665
R10AFRICA,AGO,1892,3237188,NA,NA,0,0.00939934111111111,0.016253233333333332,6.830266666666666e-4,0.011261763333333334
R10AFRICA,AGO,1893,3225405,NA,NA,0,0.009430202222222224,0.016373536666666667,5.867033333333333e-4,0.011330366666666668
R10AFRICA,AGO,1894,3213659,NA,NA,0,0.009414386666666667,0.016375186666666666,5.118299999999999e-4,0.011356143333333334
R10AFRICA,AGO,1895,3201949,NA,NA,0,0.009469802222222221,0.016467,5.077233333333334e-4,0.011434683333333332
R10AFRICA,AGO,1896,3190277,NA,NA,0,0.009565196666666666,0.01658657,5.508066666666667e-4,0.011558213333333333
R10AFRICA,AGO,1897,3178642,NA,NA,0,0.009637992222222223,0.01666676,5.850166666666666e-4,0.011662200000000001
R10AFRICA,AGO,1898,3167043,NA,NA,0,0.009688311111111111,0.016707863333333333,6.1281e-4,0.011744260000000003
R10AFRICA,AGO,1899,3153583,NA,NA,0,0.009814493333333332,0.01692324333333333,6.755833333333333e-4,0.011844653333333333
R10AFRICA,AGO,1900,3138277,NA,NA,0,0.010858136666666667,0.018892573333333336,8.416466666666667e-4,0.01284019
R10AFRICA,AGO,1901,3121144,NA,NA,0,0.0116061,0.019847776666666664,0.0010257866666666666,0.013944736666666666
R10AFRICA,AGO,1902,3102199,NA,NA,0,0.012012684444444444,0.020437999999999998,0.0011467133333333335,0.014453339999999999
R10AFRICA,AGO,1903,3081459,NA,NA,0,0.012308376666666667,0.0208021,0.0012753766666666667,0.014847653333333334
R10AFRICA,AGO,1904,3060853,NA,NA,0,0.01253643111111111,0.021158573333333333,0.0015131600000000002,0.014937559999999999
R10AFRICA,AGO,1905,3040379,NA,NA,0,0.012899039999999999,0.02162061,0.00177738,0.01529913
R10AFRICA,AGO,1906,3020037,NA,NA,0,0.013182363333333332,0.021700286666666666,0.0019777266666666667,0.015869076666666666
R10AFRICA,AGO,1907,2999825,NA,NA,0,0.013224297777777777,0.021722616666666666,0.0020917233333333334,0.015858553333333334
R10AFRICA,AGO,1908,2979744,NA,NA,0,0.013492294444444445,0.021893629999999997,0.0023709399999999998,0.016212313333333336
R10AFRICA,AGO,1909,2962141,NA,NA,0,0.013851444444444444,0.021993290000000002,0.0025959633333333333,0.016965079999999997
R10AFRICA,AGO,1910,2946996,NA,NA,0,0.01547343111111111,0.02536798,0.00283261,0.01821970333333333
R10AFRICA,AGO,1911,2934290,NA,NA,0,0.01656441111111111,0.026936836666666665,0.0030173,0.019739096666666667
R10AFRICA,AGO,1912,2924003,NA,NA,0,0.01759030777777778,0.028327126666666667,0.0032577233333333333,0.021186073333333333
R10AFRICA,AGO,1913,2916116,NA,NA,0,0.017748463333333336,0.02875964666666667,0.0034383433333333335,0.0210474
R10AFRICA,AGO,1914,2908245,NA,NA,0,0.018178208888888887,0.029702749999999997,0.0037026000000000003,0.021129276666666665
R10AFRICA,AGO,1915,2900390,NA,NA,0,0.018383163333333334,0.029746603333333337,0.0038332066666666668,0.02156968
R10AFRICA,AGO,1916,2892552,NA,NA,0,0.01920400777777778,0.03080678333333333,0.004071063333333334,0.02273417666666667
R10AFRICA,AGO,1917,2884730,NA,NA,0,0.01927858777777778,0.030939003333333336,0.0042886800000000004,0.022608080000000003
