iso3c,r10
AGO,R10AFRICA
ARE,R10MIDDLE_EAST
BDI,R10AFRICA
BEN,R10AFRICA
BFA,R10AFRICA
BHR,R10MIDDLE_EAST
BWA,R10AFRICA
CAF,R10AFRICA
CIV,R10AFRICA
CMR,R10AFRICA
COD,R10AFRICA
COG,R10AFRICA
COM,R10AFRICA
CPV,R10AFRICA
DJI,R10AFRICA
DZA,R10AFRICA
EGY,R10AFRICA
ETH,R10AFRICA
GAB,R10AFRICA
GHA,R10AFRICA
GIN,R10AFRICA
GMB,R10AFRICA
GNB,R10AFRICA
GNQ,R10AFRICA
IRN,R10MIDDLE_EAST
IRQ,R10MIDDLE_EAST
ISR,R10MIDDLE_EAST
JOR,R10MIDDLE_EAST
KEN,R10AFRICA
KWT,R10MIDDLE_EAST
LBN,R10MIDDLE_EAST
LBR,R10AFRICA
LSO,R10AFRICA
MAR,R10AFRICA
MDG,R10AFRICA
MLI,R10AFRICA
MOZ,R10AFRICA
MRT,R10AFRICA
MUS,R10AFRICA
MWI,R10AFRICA
NAM,R10AFRICA
NER,R10AFRICA
NGA,R10AFRICA
OMN,R10MIDDLE_EAST
PSE,R10MIDDLE_EAST
QAT,R10MIDDLE_EAST
RWA,R10AFRICA
SAU,R10MIDDLE_EAST
SDN,R10AFRICA
SEN,R10AFRICA
SLE,R10AFRICA
STP,R10AFRICA
SWZ,R10AFRICA
SYR,R10MIDDLE_EAST
TCD,R10AFRICA
TGO,R10AFRICA
TUN,R10AFRICA
TZA,R10AFRICA
UGA,R10AFRICA
YEM,R10MIDDLE_EAST
ZAF,R10AFRICA
ZMB,R10AFRICA
ZWE,R10AFRICA
BRN,R10REST_ASIA
CHN,R10CHINA+
FJI,R10REST_ASIA
HKG,R10CHINA+
IDN,R10REST_ASIA
KHM,R10CHINA+
KOR,R10REST_ASIA
LAO,R10CHINA+
MMR,R10CHINA+
MNG,R10CHINA+
MYS,R10REST_ASIA
PHL,R10REST_ASIA
SGP,R10REST_ASIA
THA,R10REST_ASIA
VNM,R10CHINA+
AUT,R10EUROPE
BEL,R10EUROPE
BGR,R10EUROPE
BIH,R10EUROPE
CHE,R10EUROPE
CYP,R10EUROPE
DEU,R10EUROPE
DNK,R10EUROPE
ESP,R10EUROPE
EST,R10EUROPE
FIN,R10EUROPE
FRA,R10EUROPE
GBR,R10EUROPE
GRC,R10EUROPE
HRV,R10EUROPE
HUN,R10EUROPE
IRL,R10EUROPE
ISL,R10EUROPE
ITA,R10EUROPE
LTU,R10EUROPE
LUX,R10EUROPE
LVA,R10EUROPE
MKD,R10EUROPE
MLT,R10EUROPE
MNE,R10EUROPE
NLD,R10EUROPE
NOR,R10EUROPE
POL,R10EUROPE
PRT,R10EUROPE
ROU,R10EUROPE
SRB,R10EUROPE
SVK,R10EUROPE
SVN,R10EUROPE
SWE,R10EUROPE
TUR,R10EUROPE
ARM,R10REF_ECON
AZE,R10REF_ECON
BLR,R10REF_ECON
GEO,R10REF_ECON
KAZ,R10REF_ECON
KGZ,R10REF_ECON
MDA,R10REF_ECON
RUS,R10REF_ECON
TJK,R10REF_ECON
TKM,R10REF_ECON
UKR,R10REF_ECON
UZB,R10REF_ECON
ARG,R10LATIN_AM
BHS,R10LATIN_AM
BLZ,R10LATIN_AM
BOL,R10LATIN_AM
BRA,R10LATIN_AM
BRB,R10LATIN_AM
CHL,R10LATIN_AM
COL,R10LATIN_AM
CRI,R10LATIN_AM
DOM,R10LATIN_AM
ECU,R10LATIN_AM
GRD,R10LATIN_AM
GTM,R10LATIN_AM
GUY,R10LATIN_AM
HND,R10LATIN_AM
HTI,R10LATIN_AM
JAM,R10LATIN_AM
MEX,R10LATIN_AM
NIC,R10LATIN_AM
PAN,R10LATIN_AM
PER,R10LATIN_AM
PRY,R10LATIN_AM
SLV,R10LATIN_AM
SUR,R10LATIN_AM
TTO,R10LATIN_AM
URY,R10LATIN_AM
VEN,R10LATIN_AM
CAN,R10NORTH_AM
USA,R10NORTH_AM
AUS,R10PAC_OECD
JPN,R10PAC_OECD
NZL,R10PAC_OECD
BGD,R10INDIA+
BTN,R10INDIA+
IND,R10INDIA+
LKA,R10INDIA+
MDV,R10INDIA+
NPL,R10INDIA+
PAK,R10INDIA+
