model,case,aggregate,r10,year,gtco2
REMIND-MAgPIE,A,Max,R10AFRICA,1990,0.6203940129999999
REMIND-MAgPIE,A,Max,R10AFRICA,1991,0.6439194160000001
REMIND-MAgPIE,A,Max,R10AFRICA,1992,0.628668031
REMIND-MAgPIE,A,Max,R10AFRICA,1993,0.6668827170000001
REMIND-MAgPIE,A,Max,R10AFRICA,1994,0.737002182
REMIND-MAgPIE,A,Max,R10AFRICA,1995,0.7879878130000001
REMIND-MAgPIE,A,Max,R10AFRICA,1996,0.8162823270000004
REMIND-MAgPIE,A,Max,R10AFRICA,1997,0.840131252
REMIND-MAgPIE,A,Max,R10AFRICA,1998,0.8590072900000001
REMIND-MAgPIE,A,Max,R10AFRICA,1999,0.8475767960000001
REMIND-MAgPIE,A,Max,R10AFRICA,2000,0.8749373870000001
REMIND-MAgPIE,A,Max,R10AFRICA,2001,0.8644201339999997
REMIND-MAgPIE,A,Max,R10AFRICA,2002,0.8445582490000001
REMIND-MAgPIE,A,Max,R10AFRICA,2003,0.9307120349999999
REMIND-MAgPIE,A,Max,R10AFRICA,2004,0.9853536709999999
REMIND-MAgPIE,A,Max,R10AFRICA,2005,0.999874251
REMIND-MAgPIE,A,Max,R10AFRICA,2006,1.033914027
REMIND-MAgPIE,A,Max,R10AFRICA,2007,1.068367312
REMIND-MAgPIE,A,Max,R10AFRICA,2008,1.1194434449999997
REMIND-MAgPIE,A,Max,R10AFRICA,2009,1.1169304440000003
REMIND-MAgPIE,A,Max,R10AFRICA,2010,1.1514113
REMIND-MAgPIE,A,Max,R10AFRICA,2011,1.196333747
REMIND-MAgPIE,A,Max,R10AFRICA,2012,1.197590235
REMIND-MAgPIE,A,Max,R10AFRICA,2013,1.2189429870000001
REMIND-MAgPIE,A,Max,R10AFRICA,2014,1.281124503
REMIND-MAgPIE,A,Max,R10AFRICA,2015,1.2616301189999999
REMIND-MAgPIE,A,Max,R10AFRICA,2016,1.3003773620000003
REMIND-MAgPIE,A,Max,R10AFRICA,2017,1.3130372259999998
REMIND-MAgPIE,A,Max,R10AFRICA,2018,1.299446408
REMIND-MAgPIE,A,Max,R10AFRICA,2019,1.383366146
REMIND-MAgPIE,A,Max,R10AFRICA,2020,1.3058101700000002
REMIND-MAgPIE,A,Max,R10AFRICA,2021,1.3674128170000002
REMIND-MAgPIE,A,Max,R10AFRICA,2022,1.3498112890000002
REMIND-MAgPIE,A,Max,R10AFRICA,2023,1.4410009259677783
REMIND-MAgPIE,A,Max,R10AFRICA,2024,1.535108100207644
REMIND-MAgPIE,A,Max,R10AFRICA,2025,1.6321328117195975
REMIND-MAgPIE,A,Max,R10AFRICA,2026,1.7320750605036384
REMIND-MAgPIE,A,Max,R10AFRICA,2027,1.8349348465597672
REMIND-MAgPIE,A,Max,R10AFRICA,2028,1.9407121698879841
REMIND-MAgPIE,A,Max,R10AFRICA,2029,2.0494070304882883
REMIND-MAgPIE,A,Max,R10AFRICA,2030,2.1610194283606807
REMIND-MAgPIE,A,Max,R10AFRICA,2031,2.1850230137645608
REMIND-MAgPIE,A,Max,R10AFRICA,2032,2.209026599168441
REMIND-MAgPIE,A,Max,R10AFRICA,2033,2.2330301845723213
REMIND-MAgPIE,A,Max,R10AFRICA,2034,2.2570337699762013
REMIND-MAgPIE,A,Max,R10AFRICA,2035,2.2810373553800813
REMIND-MAgPIE,A,Max,R10AFRICA,2036,2.3050409407839614
REMIND-MAgPIE,A,Max,R10AFRICA,2037,2.3290445261878414
REMIND-MAgPIE,A,Max,R10AFRICA,2038,2.353048111591722
REMIND-MAgPIE,A,Max,R10AFRICA,2039,2.377051696995602
REMIND-MAgPIE,A,Max,R10AFRICA,2040,2.401055282399482
REMIND-MAgPIE,A,Max,R10AFRICA,2041,2.5545929375004355
REMIND-MAgPIE,A,Max,R10AFRICA,2042,2.708130592601389
REMIND-MAgPIE,A,Max,R10AFRICA,2043,2.861668247702343
REMIND-MAgPIE,A,Max,R10AFRICA,2044,3.0152059028032965
REMIND-MAgPIE,A,Max,R10AFRICA,2045,3.16874355790425
REMIND-MAgPIE,A,Max,R10AFRICA,2046,3.3222812130052035
REMIND-MAgPIE,A,Max,R10AFRICA,2047,3.475818868106157
REMIND-MAgPIE,A,Max,R10AFRICA,2048,3.6293565232071106
