country.name,iso3c,r10,gtco2_18501989
Angola,AGO,AFR,0.110573018
Burundi,BDI,AFR,0.003560049
Benin,BEN,AFR,0.011219103999999999
Burkina Faso,BFA,AFR,0.008721464
Botswana,BWA,AFR,0.014853855999999999
Central African Republic,CAF,AFR,0.005027297
Cote d'Ivoire,CIV,AFR,0.112812729
Cameroon,CMR,AFR,0.065955706
Democratic Republic of the Congo,COD,AFR,0.126320151
Congo,COG,AFR,0.023984737000000002
Comoros,COM,AFR,9.453120000000003e-4
Cabo Verde,CPV,AFR,0.0022268710000000005
Djibouti,DJI,AFR,0.006734432000000002
Algeria,DZA,AFR,1.1505804529999997
Egypt,EGY,AFR,1.330183649
Eritrea,ERI,AFR,6.9051e-5
Ethiopia,ETH,AFR,0.04569455300000001
Gabon,GAB,AFR,0.112482137
Ghana,GHA,AFR,0.08236177399999998
Guinea,GIN,AFR,0.026882997999999998
Gambia,GMB,AFR,0.0030447840000000005
Guinea-Bissau,GNB,AFR,0.0032682880000000007
Equatorial Guinea,GNQ,AFR,0.0019492480000000002
Kenya,KEN,AFR,0.13867123900000003
Liberia,LBR,AFR,0.031350277
Libya,LBY,AFR,0.6004237560000001
Lesotho,LSO,AFR,0
Morocco,MAR,AFR,0.37904281200000006
Madagascar,MDG,AFR,0.031025749000000005
Mali,MLI,AFR,0.008854475999999997
Mozambique,MOZ,AFR,0.083839888
Mauritania,MRT,AFR,0.020646477
Mauritius,MUS,AFR,0.018605792
Malawi,MWI,AFR,0.018924148
Namibia,NAM,AFR,0
Niger,NER,AFR,0.013362077000000002
Nigeria,NGA,AFR,1.2586459010000002
Rwanda,RWA,AFR,0.008723764
Sudan,SDN,AFR,0.10677903999999998
Senegal,SEN,AFR,0.061472304
Saint Helena,SHN,AFR,4.763200000000001e-5
Sierra Leone,SLE,AFR,0.018305344
Somalia,SOM,AFR,0.014189824000000002
South Sudan,SSD,AFR,0.009709935000000001
Sao Tome and Principe,STP,AFR,8.683680000000002e-4
Eswatini,SWZ,AFR,0.009050080000000002
Seychelles,SYC,AFR,0.0021068
Chad,TCD,AFR,0.004928806000000002
Togo,TGO,AFR,0.014503129999999996
Tunisia,TUN,AFR,0.21250637999999994
United Republic of Tanzania,TZA,AFR,0.063190397
Uganda,UGA,AFR,0.026381081000000004
South Africa,ZAF,AFR,8.307818410000001
Zambia,ZMB,AFR,0.14529527599999997
Zimbabwe,ZWE,AFR,0.40698511400000004
China,CHN,EAS,40.919759588000005
"Hong Kong SAR, China",HKG,EAS,0.417972163
"Korea, Rep.",KOR,EAS,2.868750259
"Macao SAR, China",MAC,EAS,0.011644192000000001
Mongolia,MNG,EAS,0.15213442400000002
