iso3c,r10
AGO,R10AFRMEA
ARE,R10AFRMEA
BDI,R10AFRMEA
BEN,R10AFRMEA
BFA,R10AFRMEA
BHR,R10AFRMEA
BWA,R10AFRMEA
CAF,R10AFRMEA
CIV,R10AFRMEA
CMR,R10AFRMEA
COD,R10AFRMEA
COG,R10AFRMEA
COM,R10AFRMEA
CPV,R10AFRMEA
DJI,R10AFRMEA
DZA,R10AFRMEA
EGY,R10AFRMEA
ETH,R10AFRMEA
GAB,R10AFRMEA
GHA,R10AFRMEA
GIN,R10AFRMEA
GMB,R10AFRMEA
GNB,R10AFRMEA
GNQ,R10AFRMEA
IRN,R10AFRMEA
IRQ,R10AFRMEA
ISR,R10AFRMEA
JOR,R10AFRMEA
KEN,R10AFRMEA
KWT,R10AFRMEA
LBN,R10AFRMEA
LBR,R10AFRMEA
LSO,R10AFRMEA
MAR,R10AFRMEA
MDG,R10AFRMEA
MLI,R10AFRMEA
MOZ,R10AFRMEA
MRT,R10AFRMEA
MUS,R10AFRMEA
MWI,R10AFRMEA
NAM,R10AFRMEA
NER,R10AFRMEA
NGA,R10AFRMEA
OMN,R10AFRMEA
PSE,R10AFRMEA
QAT,R10AFRMEA
RWA,R10AFRMEA
SAU,R10AFRMEA
SDN,R10AFRMEA
SEN,R10AFRMEA
SLE,R10AFRMEA
STP,R10AFRMEA
SWZ,R10AFRMEA
SYR,R10AFRMEA
TCD,R10AFRMEA
TGO,R10AFRMEA
TUN,R10AFRMEA
TZA,R10AFRMEA
UGA,R10AFRMEA
YEM,R10AFRMEA
ZAF,R10AFRMEA
ZMB,R10AFRMEA
ZWE,R10AFRMEA
BRN,R10EASPAS
CHN,R10EASPAS
FJI,R10EASPAS
HKG,R10EASPAS
IDN,R10EASPAS
KHM,R10EASPAS
KOR,R10EASPAS
LAO,R10EASPAS
MMR,R10EASPAS
MNG,R10EASPAS
MYS,R10EASPAS
PHL,R10EASPAS
SGP,R10EASPAS
THA,R10EASPAS
VNM,R10EASPAS
AUT,R10EUR
BEL,R10EUR
BGR,R10EUR
BIH,R10EUR
CHE,R10EUR
CYP,R10EUR
DEU,R10EUR
DNK,R10EUR
ESP,R10EUR
EST,R10EUR
FIN,R10EUR
FRA,R10EUR
GBR,R10EUR
GRC,R10EUR
HRV,R10EUR
HUN,R10EUR
IRL,R10EUR
ISL,R10EUR
ITA,R10EUR
LTU,R10EUR
LUX,R10EUR
LVA,R10EUR
MKD,R10EUR
MLT,R10EUR
MNE,R10EUR
NLD,R10EUR
NOR,R10EUR
POL,R10EUR
PRT,R10EUR
ROU,R10EUR
SRB,R10EUR
SVK,R10EUR
SVN,R10EUR
SWE,R10EUR
TUR,R10EUR
ARM,R10FSU
AZE,R10FSU
BLR,R10FSU
GEO,R10FSU
KAZ,R10FSU
KGZ,R10FSU
MDA,R10FSU
RUS,R10FSU
TJK,R10FSU
TKM,R10FSU
UKR,R10FSU
UZB,R10FSU
ARG,R10LAM
BHS,R10LAM
BLZ,R10LAM
BOL,R10LAM
BRA,R10LAM
BRB,R10LAM
CHL,R10LAM
COL,R10LAM
CRI,R10LAM
DOM,R10LAM
ECU,R10LAM
GRD,R10LAM
GTM,R10LAM
GUY,R10LAM
HND,R10LAM
HTI,R10LAM
JAM,R10LAM
MEX,R10LAM
NIC,R10LAM
PAN,R10LAM
PER,R10LAM
PRY,R10LAM
SLV,R10LAM
SUR,R10LAM
TTO,R10LAM
URY,R10LAM
VEN,R10LAM
CAN,R10NAM
USA,R10NAM
AUS,R10PAO
JPN,R10PAO
NZL,R10PAO
BGD,R10SAS
BTN,R10SAS
IND,R10SAS
LKA,R10SAS
MDV,R10SAS
NPL,R10SAS
PAK,R10SAS
