r10,iso3c,iso3c_grp,end_target,cat_end_target,end_target_year,cat_end_target_year,end_target_year_comb,end_target_comb,end_target_status_comb,end_target_status,cat_end_target_status,end_target_text,terr_GtCO2,pp1990,gdpcurrmer,year,mtco2e
R10AFRICA,CPV,CPV,Net zero,,2050,,2050,GHG,In policy document,In policy document,,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cabo%20Verde%20First/Cabo%20Verde_NDC%20Update%202021.pdf,5.610000000000001e-4,0.07229929153201131,2266752197.42617,2020,0.7754952612700001
R10AFRICA,ETH,ETH,Net zero,NOTARGET,2050,No NetZero target,2050,GHG,In policy document,In policy document,No NZT,"""In 2015, as a signatory to the Paris Agreement, Ethiopia formulated an NDC, which was updated in 2021 through improved modeling and new data. Ethiopia pledged to limit its annual net emissions to 126 Mt CO2e or lower by 2030, which would constitute a 278 Mt CO2e (or 69%) reduction from the BAU scenario of 403 Mt CO2e."" p.22 

"" The CRGE is an ambitious national blueprint that intends to reduce Ethiopia’s GHG emissions by 64%, compared to the BAU scenario, by 2030. .... The LT-LEDS outlines ambitious scenarios to decarbonize seven priority sectors of Ethiopia’s economy by 2050. "" p,18",0.01668712736251399,16.727435327427948,95912607970.1686,2020,306.20927064
R10AFRICA,GHA,GHA,Net zero,,2070,,2070,GHG,Declaration / pledge,Declaration / pledge,,net zero carbon emissions by 2070,0.01643035081780062,4.67464833113014,68337974418.7681,2020,52.12097595599999
R10AFRICA,GMB,GMB,Net zero,,2050,,2050,GHG,In policy document,In policy document,,"We will endeavour to reach net-zero carbon emissions by 2050, with enhanced adaptive capacities and resilience, and play our part to address climate change through vigorous public agency, backed by the full engagement of our citizens from all walks of life",7.113333333333332e-4,0.3488122656036071,1813609679.15313,2020,3.8966959172999998
R10AFRICA,MAR,MAR,,GHG,,2100,2100,GHG,Declaration / pledge,None,N,,0.06879315338427949,4.107674069314864,128920265075.525,2020,102.19872640033333
R10AFRICA,NGA,NGA,Net zero,GHG,2070,2060,2070,GHG,In law,In law,Y,"This Act provides a framework for achieving low greenhouse gas emission (GHG), inclusive green growth and sustainable economic development by ... (f) setting a target for year 2050 - 2070 for the attainment of a net-zero GHG emission, in line with Nigeria's international climate change obligations. (Section 1 of the Nigeria's Climate Change Act 2021).

https://cdn.climatepolicyradar.org/navigator/NGA/2021/explanatory-memorandum-on-nigeria-s-climate-change-acr_6c83884695bbf609fcd795a49d196e89.pdf
",0.12743030418493137,31.418639546479312,474517470742.749,2020,433.7823011533333
R10AFRICA,TUN,TUN,Carbon neutral(ity),,2050,,2050,GHG,In policy document,In policy document,,"L’élément essentiel de la vision est de se fixer un objectif ambitieux sur le long terme (2050), et donc nécessairement porteur de défis, à savoir atteindre la neutralité carbone en 2050. La Tunisie bénéficie de nombreux atouts (position géographique stratégique, un voisinage et des relations économiques et politiques profondes avec l’Union Européenne, etc.) qui devraient lui permettre d’atteindre cet objectif ambitieux.",0.03037555640758774,1.1521526417151635,41905637658.6053,2020,41.237772340999996
R10AFRICA,ZAF,ZAF,Net zero,CO2,2050,2050,2050,GHG,Declaration / pledge,Declaration / pledge,N,"Currently, net zero target is a visionary statement and yet to be formalised. 
""We thus commit to ultimately moving towards a goal of net zero carbon emissions by 2050, which will require various interventions to reduce greenhouse gas emissions.""
""This strategy sets out a direction of travel for South Africa as we refine our low carbon emission development pathway to meet our commitments to the international community and address our developmental agenda/priorities and needs. We know that success will require decades of dedicated effort. Therefore, we present this Strategy as a living document, the beginning of our journey towards ultimately reaching a net zero carbon economy by 2050"" https://unfccc.int/sites/default/files/resource/South%20Africa%27s%20Low%20Emission%20Development%20Strategy.pdf
",0.46576800447504063,-3.1494915623141484,388531226582.351,2020,549.7493412263333
R10AFRICA,AGO,AGO,,,,,,,None,None,,,0.01923616250269446,3.952744618997419,69309110145.7687,2020,190.310432268
R10AFRICA,BDI,BDI,,,,,,,None,None,,,6.893333333333334e-4,1.7482443957459062,2576518879.39881,2020,8.5290576639
R10AFRICA,BEN,BEN,,,,,,,None,None,,,0.00712132224702898,1.818894777294887,14391686309.0337,2020,31.001176691000005
R10AFRICA,BFA,BFA,,,,,,,None,None,,,0.00551152221015223,3.4938878783772904,16178161666.1334,2020,45.86491159333333
R10AFRICA,BWA,BWA,,,,,,,None,None,,,0.006787,0.2301527717698147,16725908661.9419,2020,20.713949295
R10AFRICA,CAF,CAF,,,,,,,None,None,,,2.273333333333333e-4,0.8333426492022169,2221301350.75537,2020,27.248315396000002
R10AFRICA,CIV,CIV,,,,,,,None,None,,,0.01054274876331152,3.4848787430186534,59898479821.1946,2020,83.514339589
R10AFRICA,CMR,CMR,,,,,,,None,None,,,0.00959880763092595,3.5359450408383974,39670976440.3158,2020,67.9246791276667
R10AFRICA,COD,COD,,,,,,,None,None,,,0.00359478737367054,13.977252938790356,51775829868.7669,2020,590.424984103333
