model,scen,r10,peakyearbin,netzeroyearbin,gtco2_cmltv,gtco2_orig_cmltv,gtco2_cdr_cmltv,modelledpaths,pkyearbin,nzyearbin
AIM/CGE 2.2,EN_INDCi2030_1000f,R10AFRMEA,peak: 2030,net-zero: 2070,132.1022253479446,139.23433874,7.433690980000001,32,2030,2070
AIM/CGE 2.2,EN_INDCi2030_1000f,R10EASPAS,peak: 2030,net-zero: 2070,395.5704089034623,414.7088442,32.67553038,20,2030,2070
AIM/CGE 2.2,EN_INDCi2030_1000f,R10EUR,peak: 2020,net-zero: 2070,104.74184867350989,104.6193103,6.6433735,65,2020,2070
AIM/CGE 2.2,EN_INDCi2030_1000f,R10FSU,peak: 2030,net-zero: 2070,77.98109694475426,87.26350558,4.45371644,14,2030,2070
AIM/CGE 2.2,EN_INDCi2030_1000f,R10LAM,peak: 2020,net-zero: 2060,53.38653773291728,55.914752299999996,25.2118502,86,2020,2060
AIM/CGE 2.2,EN_INDCi2030_1000f,R10NAM,peak: 2020,net-zero: 2070,146.93936678606661,146.42625752,22.03430816,138,2020,2070
AIM/CGE 2.2,EN_INDCi2030_1000f,R10PAO,peak: 2020,net-zero: 2070,40.06194383262487,40.7154799,8.843561000000001,74,2020,2070
AIM/CGE 2.2,EN_INDCi2030_1000f,R10SAS,peak: 2030,net-zero: 2060,78.98706655499701,73.8050618,21.5137819,17,2030,2060
AIM/CGE 2.2,EN_INDCi2030_1200,R10AFRMEA,peak: 2030,net-zero: 2110,148.22169038460123,155.37329788,0,142,2030,2110
AIM/CGE 2.2,EN_INDCi2030_1200,R10EASPAS,peak: 2030,net-zero: 2110,435.6554949645176,454.84592422,0,74,2030,2110
AIM/CGE 2.2,EN_INDCi2030_1200,R10EUR,peak: 2020,net-zero: 2110,120.46317230385867,120.3403054,0,302,2020,2110
AIM/CGE 2.2,EN_INDCi2030_1200,R10FSU,peak: 2030,net-zero: 2110,85.23889076640535,94.54506978,0,82,2030,2110
