model,scen,r10,peakyearbin,pkyearbin,netzeroyearbin,nzyearbin,category,ppp_pf,rcb2100_gtco2_cmltv,gtco2_cdr_cmltv,debt2100,debtshare
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRICA,peak: 2020,2020,net-zero: 2030,2030,1_PP1990,NA,163.46957618900416,13.005485225495798,0,-0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRICA,peak: 2020,2020,net-zero: 2030,2030,2_PP1850,NA,301.16853542189233,13.005485225495798,0,-0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRICA,peak: 2020,2020,net-zero: 2030,2030,3_PP1990adjATP,MER_1/asinh(x),190.49412796705388,13.005485225495798,0,-0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRICA,peak: 2020,2020,net-zero: 2030,2030,3_PP1990adjATP,MER_1/sqrt(x),275.60095703081913,13.005485225495798,0,-0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRICA,peak: 2020,2020,net-zero: 2030,2030,3_PP1990adjATP,MER_1/x,390.916242554317,13.005485225495798,0,-0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRICA,peak: 2020,2020,net-zero: 2030,2030,3_PP1990adjATP,PPP_1/asinh(x),186.4726594959675,13.005485225495798,0,-0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRICA,peak: 2020,2020,net-zero: 2030,2030,3_PP1990adjATP,PPP_1/sqrt(x),279.42231119574996,13.005485225495798,0,-0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRICA,peak: 2020,2020,net-zero: 2030,2030,3_PP1990adjATP,PPP_1/x,424.02314492626454,13.005485225495798,0,-0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRICA,peak: 2020,2020,net-zero: 2030,2030,4_PP1850adjATP,MER_1/asinh(x),245.12307643714772,13.005485225495798,0,-0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRICA,peak: 2020,2020,net-zero: 2030,2030,4_PP1850adjATP,MER_1/sqrt(x),330.2299055009131,13.005485225495798,0,-0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRICA,peak: 2020,2020,net-zero: 2030,2030,4_PP1850adjATP,MER_1/x,445.54519102441077,13.005485225495798,0,-0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRICA,peak: 2020,2020,net-zero: 2030,2030,4_PP1850adjATP,PPP_1/asinh(x),241.1016079660614,13.005485225495798,0,-0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRICA,peak: 2020,2020,net-zero: 2030,2030,4_PP1850adjATP,PPP_1/sqrt(x),334.05125966584376,13.005485225495798,0,-0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRICA,peak: 2020,2020,net-zero: 2030,2030,4_PP1850adjATP,PPP_1/x,478.6520933963583,13.005485225495798,0,-0
COFFEE 1.1,EN_NPi2020_400,R10AFRICA,peak: 2020,2020,net-zero: 2040,2040,1_PP1990,NA,167.04745890371066,12.44709145333243,0,-0
