model,case,aggregate,r10,year,gtco2
REMIND-MAgPIE,A,Max,AFR,1990,0.6582814289999999
REMIND-MAgPIE,A,Max,AFR,1991,0.6878291450000001
REMIND-MAgPIE,A,Max,AFR,1992,0.666901477
REMIND-MAgPIE,A,Max,AFR,1993,0.706661511
REMIND-MAgPIE,A,Max,AFR,1994,0.7902813809999999
REMIND-MAgPIE,A,Max,AFR,1995,0.8445566109999999
REMIND-MAgPIE,A,Max,AFR,1996,0.8723208510000002
REMIND-MAgPIE,A,Max,AFR,1997,0.8939891620000001
REMIND-MAgPIE,A,Max,AFR,1998,0.9124421260000001
REMIND-MAgPIE,A,Max,AFR,1999,0.8996774830000002
REMIND-MAgPIE,A,Max,AFR,2000,0.9300425989999999
REMIND-MAgPIE,A,Max,AFR,2001,0.9195428849999997
REMIND-MAgPIE,A,Max,AFR,2002,0.8992741929999999
REMIND-MAgPIE,A,Max,AFR,2003,0.988565452
REMIND-MAgPIE,A,Max,AFR,2004,1.044866707
REMIND-MAgPIE,A,Max,AFR,2005,1.0631800310000001
REMIND-MAgPIE,A,Max,AFR,2006,1.0921658310000002
REMIND-MAgPIE,A,Max,AFR,2007,1.122721434
REMIND-MAgPIE,A,Max,AFR,2008,1.1756196259999998
REMIND-MAgPIE,A,Max,AFR,2009,1.1731634350000004
REMIND-MAgPIE,A,Max,AFR,2010,1.2153736899999998
REMIND-MAgPIE,A,Max,AFR,2011,1.255083884
REMIND-MAgPIE,A,Max,AFR,2012,1.2558515
REMIND-MAgPIE,A,Max,AFR,2013,1.2654697150000003
REMIND-MAgPIE,A,Max,AFR,2014,1.3449154920000002
REMIND-MAgPIE,A,Max,AFR,2015,1.3197872819999998
REMIND-MAgPIE,A,Max,AFR,2016,1.3554934610000002
REMIND-MAgPIE,A,Max,AFR,2017,1.3697096959999997
REMIND-MAgPIE,A,Max,AFR,2018,1.35707505
REMIND-MAgPIE,A,Max,AFR,2019,1.457568135
REMIND-MAgPIE,A,Max,AFR,2020,1.3564357210000002
REMIND-MAgPIE,A,Max,AFR,2021,1.435214084
REMIND-MAgPIE,A,Max,AFR,2022,1.416626588
REMIND-MAgPIE,A,Max,AFR,2023,1.5096756930450852
REMIND-MAgPIE,A,Max,AFR,2024,1.6027247980901702
REMIND-MAgPIE,A,Max,AFR,2025,1.6957739031352552
REMIND-MAgPIE,A,Max,AFR,2026,1.7888230081803402
REMIND-MAgPIE,A,Max,AFR,2027,1.8818721132254255
REMIND-MAgPIE,A,Max,AFR,2028,1.9749212182705107
REMIND-MAgPIE,A,Max,AFR,2029,2.0679703233155955
REMIND-MAgPIE,A,Max,AFR,2030,2.1610194283606807
REMIND-MAgPIE,A,Max,AFR,2031,2.1850230137645608
REMIND-MAgPIE,A,Max,AFR,2032,2.209026599168441
REMIND-MAgPIE,A,Max,AFR,2033,2.2330301845723213
