model,case,aggregate,quantile,year,gmt
MESSAGEix-GLOBIOM,A,Max,0.1,1990,0.49856
MESSAGEix-GLOBIOM,A,Max,0.1,1991,0.4953
MESSAGEix-GLOBIOM,A,Max,0.1,1992,0.38984
MESSAGEix-GLOBIOM,A,Max,0.1,1993,0.3043
MESSAGEix-GLOBIOM,A,Max,0.1,1994,0.3383
MESSAGEix-GLOBIOM,A,Max,0.1,1995,0.41346
MESSAGEix-GLOBIOM,A,Max,0.1,1996,0.48376
MESSAGEix-GLOBIOM,A,Max,0.1,1997,0.54462
MESSAGEix-GLOBIOM,A,Max,0.1,1998,0.5989
MESSAGEix-GLOBIOM,A,Max,0.1,1999,0.6479400000000001
MESSAGEix-GLOBIOM,A,Max,0.1,2000,0.69316
MESSAGEix-GLOBIOM,A,Max,0.1,2001,0.73178
MESSAGEix-GLOBIOM,A,Max,0.1,2002,0.76002
MESSAGEix-GLOBIOM,A,Max,0.1,2003,0.77982
MESSAGEix-GLOBIOM,A,Max,0.1,2004,0.792
MESSAGEix-GLOBIOM,A,Max,0.1,2005,0.80016
MESSAGEix-GLOBIOM,A,Max,0.1,2006,0.8069200000000001
MESSAGEix-GLOBIOM,A,Max,0.1,2007,0.81512
MESSAGEix-GLOBIOM,A,Max,0.1,2008,0.82814
MESSAGEix-GLOBIOM,A,Max,0.1,2009,0.8437
MESSAGEix-GLOBIOM,A,Max,0.1,2010,0.86408
MESSAGEix-GLOBIOM,A,Max,0.1,2011,0.8871
MESSAGEix-GLOBIOM,A,Max,0.1,2012,0.91134
MESSAGEix-GLOBIOM,A,Max,0.1,2013,0.9374
MESSAGEix-GLOBIOM,A,Max,0.1,2014,0.96216
MESSAGEix-GLOBIOM,A,Max,0.1,2015,0.9812
MESSAGEix-GLOBIOM,A,Max,0.1,2016,0.99776
MESSAGEix-GLOBIOM,A,Max,0.1,2017,1.01356
MESSAGEix-GLOBIOM,A,Max,0.1,2018,1.03332
MESSAGEix-GLOBIOM,A,Max,0.1,2019,1.05258
MESSAGEix-GLOBIOM,A,Max,0.1,2020,1.07432
MESSAGEix-GLOBIOM,A,Max,0.1,2021,1.09472
MESSAGEix-GLOBIOM,A,Max,0.1,2022,1.11172
MESSAGEix-GLOBIOM,A,Max,0.1,2023,1.12796
MESSAGEix-GLOBIOM,A,Max,0.1,2024,1.14354
MESSAGEix-GLOBIOM,A,Max,0.1,2025,1.15808
MESSAGEix-GLOBIOM,A,Max,0.1,2026,1.17502
MESSAGEix-GLOBIOM,A,Max,0.1,2027,1.18962
MESSAGEix-GLOBIOM,A,Max,0.1,2028,1.2044
MESSAGEix-GLOBIOM,A,Max,0.1,2029,1.21998
MESSAGEix-GLOBIOM,A,Max,0.1,2030,1.2364
MESSAGEix-GLOBIOM,A,Max,0.1,2031,1.2541
MESSAGEix-GLOBIOM,A,Max,0.1,2032,1.27164
MESSAGEix-GLOBIOM,A,Max,0.1,2033,1.2886
MESSAGEix-GLOBIOM,A,Max,0.1,2034,1.30548
