r10,category,pf,ppp,ppp_pf,year,rcb,pop_yearto2050
R10AFRICA,1_PP1990,NA,NA,NA,1990,204.5652715234589,77633793227.69812
R10AFRICA,1_PP1990,NA,NA,NA,1991,203.94487751045884,77014780449.69812
R10AFRICA,1_PP1990,NA,NA,NA,1992,203.30095809445888,76378754366.69812
R10AFRICA,1_PP1990,NA,NA,NA,1993,202.6722900634589,75725633461.69812
R10AFRICA,1_PP1990,NA,NA,NA,1994,202.00540734645887,75055744304.69812
R10AFRICA,1_PP1990,NA,NA,NA,1995,201.26840516445887,74369154057.69812
R10AFRICA,1_PP1990,NA,NA,NA,1996,200.48041735145884,73665365816.69812
R10AFRICA,1_PP1990,NA,NA,NA,1997,199.66413502445883,72943764708.69812
R10AFRICA,1_PP1990,NA,NA,NA,1998,198.82400377245892,72204263134.69812
R10AFRICA,1_PP1990,NA,NA,NA,1999,197.9649964824589,71446653286.69812
R10AFRICA,1_PP1990,NA,NA,NA,2000,197.11741968645882,70670472796.69812
R10AFRICA,1_PP1990,NA,NA,NA,2001,196.24248229945889,69875205174.69814
R10AFRICA,1_PP1990,NA,NA,NA,2002,195.37806216545889,69060276371.69814
R10AFRICA,1_PP1990,NA,NA,NA,2003,194.53350391645884,68225077753.69811
R10AFRICA,1_PP1990,NA,NA,NA,2004,193.6027918814589,67369069265.69811
R10AFRICA,1_PP1990,NA,NA,NA,2005,192.61743821045886,66491596666.69811
R10AFRICA,1_PP1990,NA,NA,NA,2006,191.6175639594588,65591949413.69811
R10AFRICA,1_PP1990,NA,NA,NA,2007,190.58364993245888,64669359328.69811
R10AFRICA,1_PP1990,NA,NA,NA,2008,189.5152826204588,63722975197.69813
R10AFRICA,1_PP1990,NA,NA,NA,2009,188.3958391754589,62752049557.698135
R10AFRICA,1_PP1990,NA,NA,NA,2010,187.27890873145884,61755836128.698135
R10AFRICA,1_PP1990,NA,NA,NA,2011,186.12749743145886,60733596217.69813
R10AFRICA,1_PP1990,NA,NA,NA,2012,184.93116368445894,59684418298.698135
R10AFRICA,1_PP1990,NA,NA,NA,2013,183.73357344945887,58607557635.69813
R10AFRICA,1_PP1990,NA,NA,NA,2014,182.5146304624589,57502319702.69813
