r10,category,pf,ppp,ppp_pf,name,year,rcb,pop_yearto2050
R10AFRICA,PP2015,NA,NA,NA,pp2015,1991,92.94916811490945,76800867546
R10AFRICA,PP2015,NA,NA,NA,pp2015,1992,92.94916811490945,76164605981
R10AFRICA,PP2015,NA,NA,NA,pp2015,1993,92.94916811490945,75511303447
R10AFRICA,PP2015,NA,NA,NA,pp2015,1994,92.94916811490945,74841251376
R10AFRICA,PP2015,NA,NA,NA,pp2015,1995,92.94916811490945,74154457654
R10AFRICA,PP2015,NA,NA,NA,pp2015,1996,92.94916811490945,73450446881
R10AFRICA,PP2015,NA,NA,NA,pp2015,1997,92.94916811490945,72728659829
R10AFRICA,PP2015,NA,NA,NA,pp2015,1998,92.94916811490945,71989137922
R10AFRICA,PP2015,NA,NA,NA,pp2015,1999,92.94916811490945,71231757024
R10AFRICA,PP2015,NA,NA,NA,pp2015,2000,92.94916811490945,70455947767
R10AFRICA,PP2015,NA,NA,NA,pp2015,2001,92.94916811490945,69661125508
R10AFRICA,PP2015,NA,NA,NA,pp2015,2002,92.94916811490945,68846670613
R10AFRICA,PP2015,NA,NA,NA,pp2015,2003,92.94916811490945,68011954795
R10AFRICA,PP2015,NA,NA,NA,pp2015,2004,92.94916811490945,67156364448
R10AFRICA,PP2015,NA,NA,NA,pp2015,2005,92.94916811490945,66279242235
R10AFRICA,PP2015,NA,NA,NA,pp2015,2006,92.94916811490945,65379978748
R10AFRICA,PP2015,NA,NA,NA,pp2015,2007,92.94916811490945,64457869955
R10AFRICA,PP2015,NA,NA,NA,pp2015,2008,92.94916811490945,63512067948
R10AFRICA,PP2015,NA,NA,NA,pp2015,2009,92.94916811490945,62541793291
R10AFRICA,PP2015,NA,NA,NA,pp2015,2010,92.94916811490945,61546271913
R10AFRICA,PP2015,NA,NA,NA,pp2015,2011,92.94916811490945,60524760604
R10AFRICA,PP2015,NA,NA,NA,pp2015,2012,92.94916811490945,59476830918
R10AFRICA,PP2015,NA,NA,NA,pp2015,2013,92.94916811490945,58401743845
R10AFRICA,PP2015,NA,NA,NA,pp2015,2014,92.94916811490945,57298318046
R10AFRICA,PP2015,NA,NA,NA,pp2015,2015,92.94916811490945,56165549753
R10AFRICA,PP2015,NA,NA,NA,pp2015,2016,91.63691865400722,55002610901
