r10,iso3c,countryname,year,gtco2,gtco2share,pop,popshare
R10AFRICA,ERI,Eritrea,2022,6.96826e-4,0.00%,5224482.391160959,0.07%
R10AFRICA,ESH,Western Sahara,2022,NA,NA,NA,NA
R10AFRICA,LBY,Libya,2022,0.062961303,0.17%,7154872.763982286,0.09%
R10AFRICA,MYT,Mayotte,2022,NA,NA,NA,NA
R10AFRICA,REU,Réunion,2022,NA,NA,NA,NA
R10AFRICA,SOM,Somalia,2022,6.46921e-4,0.00%,14802631.916488353,0.19%
R10AFRICA,SSD,South Sudan,2022,0.0018336049999999999,0.01%,NA,NA
R10CHINA+,MAC,Macao SAR China,2022,0.001051646,0.00%,NA,NA
R10CHINA+,PRK,North Korea,2022,0.050871635,0.14%,25824626.980031557,0.33%
R10INDIA+,AFG,Afghanistan,2022,0.012147948,0.03%,41760293.42349543,0.54%
R10LATIN_AM,CUB,Cuba,2022,0.020921022,0.06%,11148226.72944444,0.14%
R10LATIN_AM,GLP,Guadeloupe,2022,NA,NA,NA,NA
R10LATIN_AM,MTQ,Martinique,2022,NA,NA,NA,NA
R10LATIN_AM,PRI,Puerto Rico,2022,NA,NA,NA,NA
R10NORTH_AM,GUM,Guam,2022,NA,NA,NA,NA
R10REST_ASIA,FSM,Micronesia (Federated States of),2022,1.51206e-4,0.00%,113285.97460314016,0.00%
R10REST_ASIA,NCL,New Caledonia,2022,0.005115215,0.01%,295509.4571252571,0.00%
R10REST_ASIA,PNG,Papua New Guinea,2022,0.007823140000000001,0.02%,9409596.891571973,0.12%
R10REST_ASIA,PYF,French Polynesia,2022,8.73217e-4,0.00%,NA,NA
R10REST_ASIA,SLB,Solomon Islands,2022,2.9863299999999997e-4,0.00%,703880.7198336383,0.01%
R10REST_ASIA,TLS,Timor-Leste,2022,6.68892e-4,0.00%,1385846.4207998526,0.02%
R10REST_ASIA,TWN,Taiwan,2022,0.277900937,0.77%,NA,NA
R10REST_ASIA,VUT,Vanuatu,2022,2.0790900000000002e-4,0.00%,315012.05202213384,0.00%
R10REST_ASIA,WSM,Samoa,2022,2.49491e-4,0.00%,203786.69914510316,0.00%
NA,ABW,Aruba,2022,8.658740000000001e-4,0.00%,NA,NA
NA,AIA,Anguilla,2022,1.38967e-4,0.00%,NA,NA
NA,ALA,Åland Islands,2022,NA,NA,NA,NA
NA,ALB,Albania,2022,0.00495473,0.01%,NA,NA
NA,AND,Andorra,2022,3.68645e-4,0.00%,NA,NA
NA,ASM,American Samoa,2022,NA,NA,NA,NA
NA,ATF,French Southern Territories,2022,NA,NA,NA,NA
NA,ATG,Antigua & Barbuda,2022,6.02192e-4,0.00%,NA,NA
NA,BES,Caribbean Netherlands,2022,1.1046100000000001e-4,0.00%,NA,NA
NA,BLM,St. Barthélemy,2022,NA,NA,NA,NA
NA,BMU,Bermuda,2022,4.4540800000000006e-4,0.00%,NA,NA
NA,BVT,Bouvet Island,2022,NA,NA,NA,NA
NA,CCK,Cocos (Keeling) Islands,2022,NA,NA,NA,NA
NA,COK,Cook Islands,2022,6.804300000000001e-5,0.00%,NA,NA
NA,CUW,Curaçao,2022,0.0017566900000000002,0.00%,NA,NA
NA,CXR,Christmas Island,2022,0,0.00%,NA,NA
NA,CYM,Cayman Islands,2022,NA,NA,NA,NA
NA,CZE,Czechia,2022,0.09796930000000001,0.27%,NA,NA
NA,DMA,Dominica,2022,1.5322e-4,0.00%,NA,NA
NA,FLK,Falkland Islands,2022,NA,NA,NA,NA
NA,FRO,Faroe Islands,2022,7.481330000000001e-4,0.00%,NA,NA
NA,GGY,Guernsey,2022,NA,NA,NA,NA
NA,GIB,Gibraltar,2022,NA,NA,NA,NA
NA,GRL,Greenland,2022,5.91718e-4,0.00%,NA,NA
NA,GUF,French Guiana,2022,NA,NA,NA,NA
NA,HMD,Heard & McDonald Islands,2022,NA,NA,NA,NA
NA,IMN,Isle of Man,2022,NA,NA,NA,NA
NA,IOT,British Indian Ocean Territory,2022,NA,NA,NA,NA
NA,JEY,Jersey,2022,NA,NA,NA,NA
NA,KIR,Kiribati,2022,6.804300000000001e-5,0.00%,NA,NA
NA,KNA,St. Kitts & Nevis,2022,2.24486e-4,0.00%,NA,NA
NA,KNA,St. Kitts & Nevis,2022,0,0.00%,NA,NA
NA,LCA,St. Lucia,2022,4.7035100000000004e-4,0.00%,NA,NA
NA,LIE,Liechtenstein,2022,1.49934e-4,0.00%,NA,NA
NA,MAF,Saint Martin (French part),2022,NA,NA,NA,NA
NA,MCO,Monaco,2022,NA,NA,NA,NA
NA,MHL,Marshall Islands,2022,1.51206e-4,0.00%,NA,NA
NA,MNP,Northern Mariana Islands,2022,NA,NA,NA,NA
NA,MSR,Montserrat,2022,2.138e-5,0.00%,NA,NA
NA,NFK,Norfolk Island,2022,NA,NA,NA,NA
NA,NIU,Niue,2022,7.56e-6,0.00%,NA,NA
NA,NRU,Nauru,2022,5.2922e-5,0.00%,NA,NA
NA,PCN,Pitcairn Islands,2022,NA,NA,NA,NA
NA,PLW,Palau,2022,2.19249e-4,0.00%,NA,NA
NA,SGS,South Georgia & South Sandwich Islands,2022,NA,NA,NA,NA
NA,SHN,St. Helena,2022,1.7816e-5,0.00%,NA,NA
NA,SJM,Svalbard & Jan Mayen,2022,NA,NA,NA,NA
NA,SMR,San Marino,2022,NA,NA,NA,NA
NA,SPM,St. Pierre & Miquelon,2022,6.0576e-5,0.00%,NA,NA
NA,SXM,Sint Maarten,2022,6.34261e-4,0.00%,NA,NA
NA,SYC,Seychelles,2022,6.58828e-4,0.00%,NA,NA
NA,TCA,Turks & Caicos Islands,2022,3.4920000000000003e-4,0.00%,NA,NA
NA,TKL,Tokelau,2022,NA,NA,NA,NA
NA,TON,Tonga,2022,1.89008e-4,0.00%,NA,NA
NA,TUV,Tuvalu,2022,1.134e-5,0.00%,NA,NA
NA,UMI,United States Minor Outlying Islands (the),2022,NA,NA,NA,NA
NA,VAT,Vatican City,2022,NA,NA,NA,NA
NA,VCT,St. Vincent & Grenadines,2022,2.3873900000000002e-4,0.00%,NA,NA
NA,VGB,British Virgin Islands,2022,1.56784e-4,0.00%,NA,NA
NA,VIR,U.S. Virgin Islands,2022,NA,NA,NA,NA
NA,WLF,Wallis & Futuna,2022,2.6461e-5,0.00%,NA,NA
